,organism,sequence_abundance
1,Puccinia striiformis var tritici,241
2,Puccinia triticina,313
3,Puccinia graminis,703
4,Austropuccinia psidii,379
5,Leptosphaeria maculans,392
6,Sclerotinia sclerotiorum,737
7,Botrytis cinerea,464
8,Botrytis fabae,218
9,Zymoseptoria tritici,218
10,Sporisorium scitamineum,266
11,Erysiphe necator,630
13,Pyrenophora tritici-repentis,451
14,Cryptovalsa ampelina,388
15,Eutypa lata,242
16,Diplodia seriata,753
17,Fusarium pseudograminearum,472
18,Aspergillus flavus,218
19,Aspergillus fumigatus,516
20,Blastobotrys adeninivorans,261
21,Blastobotrys proliferans,218
23,Candida boleticola,218
24,Candida caryicola,218
25,Candida catenulata,227
26,Candida dubliniensis,218
27,Candida glabrata,546
28,Candida metapsilosis,397
30,Candida parapsilosis,637
31,Candida tropicalis,457
32,Candida zeylanoides,299
33,Cryptococcus gattii VG I,559
35,Cryptococcus neoformans VN IIII,543
36,Fusarium proliferatum,514
37,Geotrichum candidum,484
38,Kluyveromyces lactis,350
39,Kluyveromyces marxianus,297
40,Kodamaea ohmeri,281
42,Penicillium chrysogenum,318
43,Pichia kudriavzevii,218
44,Pichia membranifaciens,836
45,Rhodotorula mucilaginosa,627
46,Scedosporium aurantiacum,218
47,Scedosporium boydii,276
48,Trichomonascus ciferrii,262
49,Trichosporon asahii,534
50,Wickerhamomyces anomalus,345
51,Yamadazyma mexicana,419
52,Yamadazyma scolyti,357
53,Yarrowia lipolytica,354
54,Diaporthe sp CCL067,662
55,Quambalaria cyanescens CCL055,314
56,Entoleuca sp CCL052,694
57,Cortinarius globuliformis CM4,218
59,Asteroma sp CCL060,391
60,Tuber brumale,411
