species,correctly mapped,mapped to this species
Aspergillus_flavus,160,292
Aspergillus_fumigatus,292,292
Asteroma_sp_CCL060,385,386
Austropuccinia_psidii,373,374
Blastobotrys_adeninivorans,261,267
Blastobotrys_proliferans,213,213
Botrytis_cinerea,0,0
Botrytis_fabae,205,207
Candida_boleticola,215,217
Candida_caryicola,214,219
Candida_catenulata,223,255
Candida_dubliniensis,212,212
Candida_glabrata,437,445
Candida_metapsilosis,385,392
Candida_parapsilosis,623,626
Candida_tropicalis,446,448
Candida_zeylanoides,295,299
Cortinarius_globuliformis_CM4,170,175
Cryptococcus_gattii_VG_I,499,504
Cryptococcus_neoformans_VN_IIII,528,531
Cryptovalsa_ampelina,384,385
Diaporthe_sp_CCL067,659,663
Diplodia_seriata,747,748
Entoleuca_sp_CCL052,684,684
Erysiphe_necator,605,612
Eutypa_lata,240,241
Fusarium_proliferatum,495,504
Fusarium_pseudograminearum,458,458
Geotrichum_candidum,483,488
Kluyveromyces_lactis,344,347
Kluyveromyces_marxianus,293,305
Kodamaea_ohmeri,275,279
Leptosphaeria_maculans,387,389
Penicillium_chrysogenum,306,333
Pichia_kudriavzevii,214,237
Pichia_membranifaciens,634,636
Puccinia_graminis,689,691
Puccinia_striiformis_var_tritici,232,233
Puccinia_triticina,300,301
Pyrenophora_tritici-repentis,382,392
Quambalaria_cyanescens_CCL055,304,310
Rhodotorula_mucilaginosa,623,627
Scedosporium_aurantiacum,204,204
Scedosporium_boydii,265,267
Sclerotinia_sclerotiorum,714,714
Sporisorium_scitamineum,249,257
Trichomonascus_ciferrii,254,255
Trichosporon_asahii,527,538
Tuber_brumale,409,415
Wickerhamomyces_anomalus,339,340
Yamadazyma_mexicana,415,422
Yamadazyma_scolyti,357,358
Yarrowia_lipolytica,354,394
Zymoseptoria_tritici,215,217
