"","organism","sequence_abundance"
"1","Puccinia striiformis var tritici",1205
"2","Puccinia triticina",1565
"3","Puccinia graminis",3514
"4","Austropuccinia psidii",1893
"5","Leptosphaeria maculans",1957
"6","Sclerotinia sclerotiorum",3685
"7","Botrytis cinerea",2318
"8","Botrytis fabae",1090
"9","Zymoseptoria tritici",1090
"10","Sporisorium scitamineum",1330
"11","Erysiphe necator",3150
"13","Pyrenophora tritici-repentis",2253
"14","Cryptovalsa ampelina",1937
"15","Eutypa lata",1210
"16","Diplodia seriata",3763
"17","Fusarium pseudograminearum",2358
"18","Aspergillus flavus",1090
"19","Aspergillus fumigatus",2580
"20","Blastobotrys adeninivorans",1301
"21","Blastobotrys proliferans",1090
"23","Candida boleticola",1090
"24","Candida caryicola",1090
"25","Candida catenulata",1135
"26","Candida dubliniensis",1090
"27","Candida glabrata",2729
"28","Candida metapsilosis",1983
"30","Candida parapsilosis",3182
"31","Candida tropicalis",2281
"32","Candida zeylanoides",1494
"33","Cryptococcus gattii VG I",2791
"35","Cryptococcus neoformans VN IIII",2711
"36","Fusarium proliferatum",2566
"37","Geotrichum candidum",2419
"38","Kluyveromyces lactis",1748
"39","Kluyveromyces marxianus",1483
"40","Kodamaea ohmeri",1401
"42","Penicillium chrysogenum",1589
"43","Pichia kudriavzevii",1090
"44","Pichia membranifaciens",4179
"45","Rhodotorula mucilaginosa",3132
"46","Scedosporium aurantiacum",1090
"47","Scedosporium boydii",1377
"48","Trichomonascus ciferrii",1307
"49","Trichosporon asahii",2666
"50","Wickerhamomyces anomalus",1725
"51","Yamadazyma mexicana",2092
"52","Yamadazyma scolyti",1785
"53","Yarrowia lipolytica",1769
"54","Diaporthe sp CCL067",3307
"55","Quambalaria cyanescens CCL055",1570
"56","Entoleuca sp CCL052",3468
"57","Cortinarius globuliformis CM4",1090
"59","Asteroma sp CCL060",1951
"60","Tuber brumale",2051
