MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Aspergillus_flavus,Mock3,Qmin15,minimap2,GSD,0.778834431,0.771870469,0.785925197
Aspergillus_fumigatus,Mock3,Qmin15,minimap2,GSD,0.709232097,0.552048355,0.991556092
Asteroma_sp._CCL060,Mock3,Qmin15,minimap2,GSD,0.988442822,0.983656174,0.993276284
Austropuccinia_psidii,Mock3,Qmin15,minimap2,GSD,0.984184365,0.977119785,0.991351843
Blastobotrys_adeninivorans,Mock3,Qmin15,minimap2,GSD,0.991351535,0.991183452,0.991519674
Blastobotrys_proliferans,Mock3,Qmin15,minimap2,GSD,0.990832417,0.992652461,0.989019034
Botrytis_cinerea,Mock3,Qmin15,minimap2,GSD,0.97433414,0.977648202,0.971042471
Botrytis_fabae,Mock3,Qmin15,minimap2,GSD,0.962173681,0.950026302,0.974635726
Candida_boleticola,Mock3,Qmin15,minimap2,GSD,0.93870862,0.945838838,0.931685101
Candida_caryicola,Mock3,Qmin15,minimap2,GSD,0.947038054,0.993415638,0.904797601
Candida_catenulata,Mock3,Qmin15,minimap2,GSD,0.983630411,0.991202346,0.976173285
Candida_dubliniensis,Mock3,Qmin15,minimap2,GSD,0.974133187,0.974669604,0.97359736
Candida_glabrata,Mock3,Qmin15,minimap2,GSD,0.860637088,0.767630644,0.979288026
Candida_metapsilosis,Mock3,Qmin15,minimap2,GSD,0.713864307,1,0.555045872
Candida_parapsilosis,Mock3,Qmin15,minimap2,GSD,0.96985447,0.986779482,0.953500255
Candida_tropicalis,Mock3,Qmin15,minimap2,GSD,0.988137604,0.991666667,0.98463357
Candida_zeylanoides,Mock3,Qmin15,minimap2,GSD,0.952182952,0.989200864,0.917835671
Cortinarius_globuliformis,Mock3,Qmin15,minimap2,GSD,0.89838664,0.821428571,0.991255465
Cryptococcus_gattii_VGI,Mock3,Qmin15,minimap2,GSD,0.949464923,0.917816092,0.983374384
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,minimap2,GSD,0.984199943,0.981099656,0.987319885
Cryptovalsa_ampelina,Mock3,Qmin15,minimap2,GSD,0.994262908,0.993519442,0.995007489
Diaporthe_sp._CCL067,Mock3,Qmin15,minimap2,GSD,0.993574297,0.991583166,0.995573441
Diplodia_seriata,Mock3,Qmin15,minimap2,GSD,0.995275591,0.992323796,0.998244998
Entoleuca_sp._,Mock3,Qmin15,minimap2,GSD,0.989753531,0.982407916,0.997209821
Erysiphe_necator,Mock3,Qmin15,minimap2,GSD,0.95771578,0.921947125,0.996371882
Eutypa_lata,Mock3,Qmin15,minimap2,GSD,0.990944373,0.982771261,0.999254566
Fusarium_proliferatum,Mock3,Qmin15,minimap2,GSD,0.97421076,0.978999106,0.969469027
Fusarium_pseudograminearum,Mock3,Qmin15,minimap2,GSD,0.979256895,0.968440036,0.990318119
Geotrichum_candidum,Mock3,Qmin15,minimap2,GSD,0.952308279,0.990869393,0.916636063
Kluyveromyces_lactis,Mock3,Qmin15,minimap2,GSD,0.9708635,0.986365267,0.955841446
Kluyveromyces_marxianus,Mock3,Qmin15,minimap2,GSD,0.987673956,0.990430622,0.984932593
Kodamaea_ohmeri,Mock3,Qmin15,minimap2,GSD,0.983246262,0.97989228,0.986623283
Leptosphaeria_maculans,Mock3,Qmin15,minimap2,GSD,0.994699949,0.991479209,0.997941681
Penicillium_chrysogenum,Mock3,Qmin15,minimap2,GSD,0.961674009,0.95913884,0.964222615
Pichia_kudriavzevii,Mock3,Qmin15,minimap2,GSD,0.976386601,0.984496124,0.968409586
Pichia_membranifaciens,Mock3,Qmin15,minimap2,GSD,0.863219349,0.761029412,0.997109827
Puccinia_graminis_,Mock3,Qmin15,minimap2,GSD,0.983846388,0.984746797,0.982947625
Puccinia_striiformis_var_tritici,Mock3,Qmin15,minimap2,GSD,0.982256445,0.981927711,0.982585399
Puccinia_triticina,Mock3,Qmin15,minimap2,GSD,0.985507246,0.976660682,0.994515539
Pyrenophora_tritici-repentis,Mock3,Qmin15,minimap2,GSD,0.917299085,0.863053826,0.978820598
Quambalaria_cyanescens,Mock3,Qmin15,minimap2,GSD,0.982043608,0.970016892,0.994372294
Rhodotorula_mucilaginosa,Mock3,Qmin15,minimap2,GSD,0.994064516,0.996378686,0.991761071
Scedosporium_aurantiacum,Mock3,Qmin15,minimap2,GSD,0.972036235,0.962558502,0.981702466
Scedosporium_boydii,Mock3,Qmin15,minimap2,GSD,0.984959776,0.975406997,0.994701519
Sclerotinia_sclerotiorum,Mock3,Qmin15,minimap2,GSD,0.98448242,0.977379095,0.991689751
Sporisorium_scitamineum,Mock3,Qmin15,minimap2,GSD,0.939705059,0.892869812,0.991725768
Trichomonascus_ciferrii,Mock3,Qmin15,minimap2,GSD,0.977545692,0.963954686,0.991525424
Trichosporon_asahii,Mock3,Qmin15,minimap2,GSD,0.974495992,0.989639862,0.959808612
Tuber_brumale,Mock3,Qmin15,minimap2,GSD,0.98946547,0.982564897,0.996463654
Wickerhamomyces_anomalus,Mock3,Qmin15,minimap2,GSD,0.985552519,0.984399376,0.986708366
Yamadazyma_mexicana,Mock3,Qmin15,minimap2,GSD,0.962915601,0.992748846,0.934823091
Yamadazyma_scolyti,Mock3,Qmin15,minimap2,GSD,0.982354828,0.998695369,0.966540404
Yarrowia_lipolytica,Mock3,Qmin15,minimap2,GSD,0.940501792,0.987951807,0.897400821
Zymoseptoria_tritici,Mock3,Qmin15,minimap2,GSD,0.989344527,0.991585761,0.987113402
Aspergillus_flavus,Mock3,Qmin15,kraken2,GSD,0.789345064,0.780570324,0.798319328
Aspergillus_fumigatus,Mock3,Qmin15,kraken2,GSD,0.71076524,0.552048355,0.997572816
Asteroma_sp._CCL060,Mock3,Qmin15,kraken2,GSD,0.988736682,0.983050847,0.994488671
Austropuccinia_psidii,Mock3,Qmin15,kraken2,GSD,0.98464318,0.978017048,0.991359709
Blastobotrys_adeninivorans,Mock3,Qmin15,kraken2,GSD,0.992358635,0.990844354,0.993877551
Blastobotrys_proliferans,Mock3,Qmin15,kraken2,GSD,0.991917708,0.991917708,0.991917708
Botrytis_cinerea,Mock3,Qmin15,kraken2,GSD,0,0,0
Botrytis_fabae,Mock3,Qmin15,kraken2,GSD,0.964769648,0.93634929,0.994969257
Candida_boleticola,Mock3,Qmin15,kraken2,GSD,0.981481481,0.980184941,0.982781457
Candida_caryicola,Mock3,Qmin15,kraken2,GSD,0.988856789,0.98600823,0.991721854
Candida_catenulata,Mock3,Qmin15,kraken2,GSD,0.947442186,0.991202346,0.90738255
Candida_dubliniensis,Mock3,Qmin15,kraken2,GSD,0.981005587,0.966960352,0.995464853
Candida_glabrata,Mock3,Qmin15,kraken2,GSD,0.877488085,0.794013191,0.980576441
Candida_metapsilosis,Mock3,Qmin15,kraken2,GSD,0.881481481,0.983471074,0.798657718
Candida_parapsilosis,Mock3,Qmin15,kraken2,GSD,0.986133333,0.977789529,0.994620764
Candida_tropicalis,Mock3,Qmin15,kraken2,GSD,0.987447699,0.983333333,0.991596639
Candida_zeylanoides,Mock3,Qmin15,kraken2,GSD,0.973290598,0.983801296,0.963002114
Cortinarius_globuliformis,Mock3,Qmin15,kraken2,GSD,0.869691681,0.773809524,0.992695883
Cryptococcus_gattii_VGI,Mock3,Qmin15,kraken2,GSD,0.949132256,0.911494253,0.990012484
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,kraken2,GSD,0.983824379,0.975372279,0.992424242
Cryptovalsa_ampelina,Mock3,Qmin15,kraken2,GSD,0.994510978,0.993519442,0.995504496
Diaporthe_sp._CCL067,Mock3,Qmin15,kraken2,GSD,0.99377635,0.991983968,0.995575221
Diplodia_seriata,Mock3,Qmin15,kraken2,GSD,0.994927409,0.992323796,0.997544721
Entoleuca_sp._,Mock3,Qmin15,kraken2,GSD,0.990027701,0.982407916,0.997766611
Erysiphe_necator,Mock3,Qmin15,kraken2,GSD,0.94073612,0.949223668,0.932399011
Eutypa_lata,Mock3,Qmin15,kraken2,GSD,0.990391722,0.982404692,0.998509687
Fusarium_proliferatum,Mock3,Qmin15,kraken2,GSD,0.971134482,0.969615728,0.972658001
Fusarium_pseudograminearum,Mock3,Qmin15,kraken2,GSD,0.981918059,0.967087466,0.9972106
Geotrichum_candidum,Mock3,Qmin15,kraken2,GSD,0.993237868,0.991266376,0.995217218
Kluyveromyces_lactis,Mock3,Qmin15,kraken2,GSD,0.986123626,0.981700753,0.990586531
Kluyveromyces_marxianus,Mock3,Qmin15,kraken2,GSD,0.985881885,0.988437002,0.983339944
Kodamaea_ohmeri,Mock3,Qmin15,kraken2,GSD,0.986444967,0.97989228,0.993085881
Leptosphaeria_maculans,Mock3,Qmin15,kraken2,GSD,0.994528044,0.991138378,0.997940975
Penicillium_chrysogenum,Mock3,Qmin15,kraken2,GSD,0.96209784,0.95913884,0.965075155
Pichia_kudriavzevii,Mock3,Qmin15,kraken2,GSD,0.977614679,0.983388704,0.971908063
Pichia_membranifaciens,Mock3,Qmin15,kraken2,GSD,0.859594057,0.755147059,0.997571637
Puccinia_graminis_,Mock3,Qmin15,kraken2,GSD,0.98458693,0.974374619,0.995015576
Puccinia_striiformis_var_tritici,Mock3,Qmin15,kraken2,GSD,0.98784605,0.979250335,0.996594005
Puccinia_triticina,Mock3,Qmin15,kraken2,GSD,0.984340859,0.970556553,0.998522349
Pyrenophora_tritici-repentis,Mock3,Qmin15,kraken2,GSD,0.917152859,0.863419993,0.97801742
Quambalaria_cyanescens,Mock3,Qmin15,kraken2,GSD,0.976408077,0.970016892,0.982884039
Rhodotorula_mucilaginosa,Mock3,Qmin15,kraken2,GSD,0.995348837,0.996378686,0.994321115
Scedosporium_aurantiacum,Mock3,Qmin15,kraken2,GSD,0.974583002,0.957098284,0.992718447
Scedosporium_boydii,Mock3,Qmin15,kraken2,GSD,0.98404908,0.972289574,0.996096522
Sclerotinia_sclerotiorum,Mock3,Qmin15,kraken2,GSD,0.985781991,0.973478939,0.9984
Sporisorium_scitamineum,Mock3,Qmin15,kraken2,GSD,0.935631762,0.904930827,0.96848899
Trichomonascus_ciferrii,Mock3,Qmin15,kraken2,GSD,0.978768021,0.961380021,0.996796583
Trichosporon_asahii,Mock3,Qmin15,kraken2,GSD,0.985749386,0.989639862,0.981889378
Tuber_brumale,Mock3,Qmin15,kraken2,GSD,0.992413927,0.988376598,0.996484375
Wickerhamomyces_anomalus,Mock3,Qmin15,kraken2,GSD,0.988649706,0.985179407,0.99214454
Yamadazyma_mexicana,Mock3,Qmin15,kraken2,GSD,0.991768192,0.992748846,0.990789474
Yamadazyma_scolyti,Mock3,Qmin15,kraken2,GSD,0.995766851,0.997390737,0.994148244
Yarrowia_lipolytica,Mock3,Qmin15,kraken2,GSD,0.940164815,0.987951807,0.896787423
Zymoseptoria_tritici,Mock3,Qmin15,kraken2,GSD,0.988706034,0.991585761,0.985842986
Aspergillus_flavus,Mock3,Qmin15,aodp,GSD,0.846496982,0.779603673,0.925947187
