MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Aspergillus_flavus,Mock3,Qmin15,minimap2,NCBI_NoCd,0,0,0
Aspergillus_fumigatus,Mock3,Qmin15,minimap2,NCBI_NoCd,0.008026756,0.00402955,1
Blastobotrys_adeninivorans,Mock3,Qmin15,minimap2,NCBI_NoCd,0.96990781,0.945405222,0.995714286
Blastobotrys_proliferans,Mock3,Qmin15,minimap2,NCBI_NoCd,0.407017544,0.255694342,0.99713467
Candida_boleticola,Mock3,Qmin15,minimap2,NCBI_NoCd,0.966292135,0.937252312,0.997189037
Candida_caryicola,Mock3,Qmin15,minimap2,NCBI_NoCd,0.374331551,0.230452675,0.996441281
Candida_catenulata,Mock3,Qmin15,minimap2,NCBI_NoCd,0.277602524,0.161290323,0.995475113
Candida_dubliniensis,Mock3,Qmin15,minimap2,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin15,minimap2,NCBI_NoCd,0.390085331,0.243531202,0.979591837
Candida_metapsilosis,Mock3,Qmin15,minimap2,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin15,minimap2,NCBI_NoCd,0.929760226,0.871496563,0.99637243
Candida_tropicalis,Mock3,Qmin15,minimap2,NCBI_NoCd,0.844839371,0.735714286,0.991974318
Candida_zeylanoides,Mock3,Qmin15,minimap2,NCBI_NoCd,0.397236615,0.24838013,0.99137931
Cryptococcus_gattii_VGI,Mock3,Qmin15,minimap2,NCBI_NoCd,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,minimap2,NCBI_NoCd,0.003430532,0.001718213,1
Diplodia_seriata,Mock3,Qmin15,minimap2,NCBI_NoCd,0.922585494,0.856594557,0.999592834
Fusarium_pseudograminearum,Mock3,Qmin15,minimap2,NCBI_NoCd,0.193811075,0.107303877,1
Kluyveromyces_lactis,Mock3,Qmin15,minimap2,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,minimap2,NCBI_NoCd,0.681508643,0.518740032,0.993129771
Kodamaea_ohmeri,Mock3,Qmin15,minimap2,NCBI_NoCd,0.355162242,0.216157989,0.995041322
Leptosphaeria_maculans,Mock3,Qmin15,minimap2,NCBI_NoCd,0.948254252,0.902522154,0.998868352
Penicillium_chrysogenum,Mock3,Qmin15,minimap2,NCBI_NoCd,0.000878349,0.000439367,1
Pichia_kudriavzevii,Mock3,Qmin15,minimap2,NCBI_NoCd,0.966685278,0.958656331,0.97484985
Pichia_membranifaciens,Mock3,Qmin15,minimap2,NCBI_NoCd,0.805963604,0.675735294,0.998370451
Quambalaria_cyanescens,Mock3,Qmin15,minimap2,NCBI_NoCd,0.035669847,0.018158784,1
Rhodotorula_mucilaginosa,Mock3,Qmin15,minimap2,NCBI_NoCd,0.765062161,0.620796689,0.996677741
Scedosporium_aurantiacum,Mock3,Qmin15,minimap2,NCBI_NoCd,0.429095355,0.273790952,0.991525424
Trichomonascus_ciferrii,Mock3,Qmin15,minimap2,NCBI_NoCd,0.004110997,0.002059732,1
Trichosporon_asahii,Mock3,Qmin15,minimap2,NCBI_NoCd,0.649134487,0.481006413,0.997952917
Tuber_brumale,Mock3,Qmin15,minimap2,NCBI_NoCd,0.235816815,0.13366912,1
Wickerhamomyces_anomalus,Mock3,Qmin15,minimap2,NCBI_NoCd,0.307387863,0.18174727,0.995726496
Yamadazyma_mexicana,Mock3,Qmin15,minimap2,NCBI_NoCd,0.969820278,0.942649967,0.998603352
Yamadazyma_scolyti,Mock3,Qmin15,minimap2,NCBI_NoCd,0.972231516,0.947814742,0.99793956
Yarrowia_lipolytica,Mock3,Qmin15,minimap2,NCBI_NoCd,0.872741555,0.836596386,0.912151067
Zymoseptoria_tritici,Mock3,Qmin15,minimap2,NCBI_NoCd,0.482318271,0.317799353,1
Aspergillus_flavus,Mock3,Qmin15,kraken2,NCBI_NoCd,0.000966184,0.000483325,1
Aspergillus_fumigatus,Mock3,Qmin15,kraken2,NCBI_NoCd,0.043363995,0.022162525,1
Blastobotrys_adeninivorans,Mock3,Qmin15,kraken2,NCBI_NoCd,0.973656846,0.95252628,0.995746189
Blastobotrys_proliferans,Mock3,Qmin15,kraken2,NCBI_NoCd,0.977578475,0.961058046,0.994676806
Candida_boleticola,Mock3,Qmin15,kraken2,NCBI_NoCd,0.979152656,0.961690885,0.997260274
Candida_caryicola,Mock3,Qmin15,kraken2,NCBI_NoCd,0.966893039,0.93744856,0.998247152
Candida_catenulata,Mock3,Qmin15,kraken2,NCBI_NoCd,0.975317876,0.95601173,0.995419847
Candida_dubliniensis,Mock3,Qmin15,kraken2,NCBI_NoCd,0,0,0
Candida_glabrata,Mock3,Qmin15,kraken2,NCBI_NoCd,0.828520919,0.71334348,0.988053408
Candida_metapsilosis,Mock3,Qmin15,kraken2,NCBI_NoCd,0,0,0
Candida_parapsilosis,Mock3,Qmin15,kraken2,NCBI_NoCd,0.974054054,0.952934955,0.996130459
Candida_tropicalis,Mock3,Qmin15,kraken2,NCBI_NoCd,0.97326853,0.953571429,0.993796526
Candida_zeylanoides,Mock3,Qmin15,kraken2,NCBI_NoCd,0.965058236,0.939524838,0.992018244
Cryptococcus_gattii_VGI,Mock3,Qmin15,kraken2,NCBI_NoCd,0.356603774,0.217241379,0.994736842
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,kraken2,NCBI_NoCd,0.964953271,0.946162658,0.984505364
Diplodia_seriata,Mock3,Qmin15,kraken2,NCBI_NoCd,0.894158473,0.809141661,0.999138302
Fusarium_pseudograminearum,Mock3,Qmin15,kraken2,NCBI_NoCd,0.966961377,0.936880072,0.999038462
Kluyveromyces_lactis,Mock3,Qmin15,kraken2,NCBI_NoCd,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,kraken2,NCBI_NoCd,0.976451482,0.958931419,0.994623656
Kodamaea_ohmeri,Mock3,Qmin15,kraken2,NCBI_NoCd,0.972038263,0.948653501,0.996605055
