MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Aspergillus_flavus,Mock3,Qmin15,minimap2,NCBI,0,0,0
Aspergillus_fumigatus,Mock3,Qmin15,minimap2,NCBI,0.014666667,0.007387508,1
Blastobotrys_adeninivorans,Mock3,Qmin15,minimap2,NCBI,0.970086957,0.94574432,0.995715816
Blastobotrys_proliferans,Mock3,Qmin15,minimap2,NCBI,0.820889081,0.698750918,0.994769874
Candida_boleticola,Mock3,Qmin15,minimap2,NCBI,0.831728918,0.71334214,0.997229917
Candida_caryicola,Mock3,Qmin15,minimap2,NCBI,0.414872798,0.261728395,1
Candida_catenulata,Mock3,Qmin15,minimap2,NCBI,0.290544771,0.170087977,0.995708155
Candida_dubliniensis,Mock3,Qmin15,minimap2,NCBI,0.900241838,0.819933921,0.997989276
Candida_glabrata,Mock3,Qmin15,minimap2,NCBI,0.404024145,0.254693049,0.976653696
Candida_metapsilosis,Mock3,Qmin15,minimap2,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin15,minimap2,NCBI,0.92429827,0.86197779,0.996332518
Candida_tropicalis,Mock3,Qmin15,minimap2,NCBI,0.868050904,0.771428571,0.992343032
Candida_zeylanoides,Mock3,Qmin15,minimap2,NCBI,0.287822878,0.168466523,0.987341772
Cryptococcus_gattii_VGI,Mock3,Qmin15,minimap2,NCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,minimap2,NCBI,0.003430532,0.001718213,1
Diplodia_seriata,Mock3,Qmin15,minimap2,NCBI,0.877447142,0.781926029,0.99955397
Fusarium_pseudograminearum,Mock3,Qmin15,minimap2,NCBI,0.168455822,0.091974752,1
Kluyveromyces_lactis,Mock3,Qmin15,minimap2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,minimap2,NCBI,0.76678099,0.62400319,0.994282084
Kodamaea_ohmeri,Mock3,Qmin15,minimap2,NCBI,0.309790846,0.183482944,0.994163424
Leptosphaeria_maculans,Mock3,Qmin15,minimap2,NCBI,0.948065903,0.902181322,0.998867925
Penicillium_chrysogenum,Mock3,Qmin15,minimap2,NCBI,0.000878349,0.000439367,1
Pichia_kudriavzevii,Mock3,Qmin15,minimap2,NCBI,0.44867785,0.291251384,0.976485149
Pichia_membranifaciens,Mock3,Qmin15,minimap2,NCBI,0.784550123,0.645955882,0.99886299
Quambalaria_cyanescens,Mock3,Qmin15,minimap2,NCBI,0.031587697,0.016047297,1
Rhodotorula_mucilaginosa,Mock3,Qmin15,minimap2,NCBI,0.765848996,0.62183135,0.99668325
Scedosporium_aurantiacum,Mock3,Qmin15,minimap2,NCBI,0.436739659,0.280031201,0.991712707
Trichomonascus_ciferrii,Mock3,Qmin15,minimap2,NCBI,0.003084833,0.001544799,1
Trichosporon_asahii,Mock3,Qmin15,minimap2,NCBI,0.651379196,0.483473113,0.99796334
Tuber_brumale,Mock3,Qmin15,minimap2,NCBI,0.224896836,0.126695079,1
Wickerhamomyces_anomalus,Mock3,Qmin15,minimap2,NCBI,0.244870041,0.139625585,0.994444444
Yamadazyma_mexicana,Mock3,Qmin15,minimap2,NCBI,0.901194354,0.820698748,0.999197432
Yamadazyma_scolyti,Mock3,Qmin15,minimap2,NCBI,0.799061767,0.666666667,0.997073171
Yarrowia_lipolytica,Mock3,Qmin15,minimap2,NCBI,0.868535334,0.828313253,0.912863071
Zymoseptoria_tritici,Mock3,Qmin15,minimap2,NCBI,0.461921354,0.300323625,1
Aspergillus_flavus,Mock3,Qmin15,kraken2,NCBI,0.000966184,0.000483325,1
Aspergillus_fumigatus,Mock3,Qmin15,kraken2,NCBI,0.043363995,0.022162525,1
Blastobotrys_adeninivorans,Mock3,Qmin15,kraken2,NCBI,0.973656846,0.95252628,0.995746189
Blastobotrys_proliferans,Mock3,Qmin15,kraken2,NCBI,0.977960403,0.961792799,0.994680851
Candida_boleticola,Mock3,Qmin15,kraken2,NCBI,0.979152656,0.961690885,0.997260274
Candida_caryicola,Mock3,Qmin15,kraken2,NCBI,0.966893039,0.93744856,0.998247152
Candida_catenulata,Mock3,Qmin15,kraken2,NCBI,0.975317876,0.95601173,0.995419847
Candida_dubliniensis,Mock3,Qmin15,kraken2,NCBI,0.972025996,0.947136564,0.998258851
Candida_glabrata,Mock3,Qmin15,kraken2,NCBI,0.828520919,0.71334348,0.988053408
Candida_metapsilosis,Mock3,Qmin15,kraken2,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin15,kraken2,NCBI,0.974054054,0.952934955,0.996130459
Candida_tropicalis,Mock3,Qmin15,kraken2,NCBI,0.97326853,0.953571429,0.993796526
Candida_zeylanoides,Mock3,Qmin15,kraken2,NCBI,0.965058236,0.939524838,0.992018244
Cryptococcus_gattii_VGI,Mock3,Qmin15,kraken2,NCBI,0.356603774,0.217241379,0.994736842
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,kraken2,NCBI,0.964953271,0.946162658,0.984505364
Diplodia_seriata,Mock3,Qmin15,kraken2,NCBI,0.894158473,0.809141661,0.999138302
Fusarium_pseudograminearum,Mock3,Qmin15,kraken2,NCBI,0.966961377,0.936880072,0.999038462
Kluyveromyces_lactis,Mock3,Qmin15,kraken2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,kraken2,NCBI,0.976451482,0.958931419,0.994623656
Kodamaea_ohmeri,Mock3,Qmin15,kraken2,NCBI,0.972038263,0.948653501,0.996605055
Leptosphaeria_maculans,Mock3,Qmin15,kraken2,NCBI,0.970196353,0.943081118,0.998916968
Penicillium_chrysogenum,Mock3,Qmin15,kraken2,NCBI,0,0,0
Pichia_kudriavzevii,Mock3,Qmin15,kraken2,NCBI,0.966889881,0.959394611,0.974503187
Pichia_membranifaciens,Mock3,Qmin15,kraken2,NCBI,0.810397554,0.681985294,0.998385361
Quambalaria_cyanescens,Mock3,Qmin15,kraken2,NCBI,0.889304938,0.802364865,0.997375328
Rhodotorula_mucilaginosa,Mock3,Qmin15,kraken2,NCBI,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin15,kraken2,NCBI,0.948445172,0.904056162,0.997418244
Trichomonascus_ciferrii,Mock3,Qmin15,kraken2,NCBI,0.814272644,0.687435633,0.998504114
Trichosporon_asahii,Mock3,Qmin15,kraken2,NCBI,0.936649215,0.882585101,0.997769102
Tuber_brumale,Mock3,Qmin15,kraken2,NCBI,0.846119536,0.734986439,0.996847084
Wickerhamomyces_anomalus,Mock3,Qmin15,kraken2,NCBI,0.973253493,0.950858034,0.996729354
Yamadazyma_mexicana,Mock3,Qmin15,kraken2,NCBI,0.980194696,0.96242584,0.998632011
Yamadazyma_scolyti,Mock3,Qmin15,kraken2,NCBI,0.983454666,0.969341161,0.997985225
Yarrowia_lipolytica,Mock3,Qmin15,kraken2,NCBI,0.935283364,0.96310241,0.909026297
Zymoseptoria_tritici,Mock3,Qmin15,kraken2,NCBI,0.979201056,0.95987055,0.999326146
Aspergillus_flavus,Mock3,Qmin15,dnabarcoder,NCBI,0.047192072,0.024166264,1
Aspergillus_fumigatus,Mock3,Qmin15,dnabarcoder,NCBI,0.033025099,0.016789792,1
Blastobotrys_adeninivorans,Mock3,Qmin15,dnabarcoder,NCBI,0.971696475,0.948796202,0.995729537
Blastobotrys_proliferans,Mock3,Qmin15,dnabarcoder,NCBI,0.976813762,0.959588538,0.994668698
Candida_boleticola,Mock3,Qmin15,dnabarcoder,NCBI,0.921436189,0.856010568,0.997690531
Candida_caryicola,Mock3,Qmin15,dnabarcoder,NCBI,0.958493795,0.9218107,0.998217469
Candida_catenulata,Mock3,Qmin15,dnabarcoder,NCBI,0.973782772,0.953079179,0.995405819
Candida_dubliniensis,Mock3,Qmin15,dnabarcoder,NCBI,0.966770804,0.93722467,0.998240469
Candida_glabrata,Mock3,Qmin15,dnabarcoder,NCBI,0.828765105,0.71334348,0.988748242
Candida_metapsilosis,Mock3,Qmin15,dnabarcoder,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin15,dnabarcoder,NCBI,0.967355822,0.940243258,0.996078431
Candida_tropicalis,Mock3,Qmin15,dnabarcoder,NCBI,0.965094917,0.938095238,0.99369483
Candida_zeylanoides,Mock3,Qmin15,dnabarcoder,NCBI,0.97249725,0.954643629,0.99103139
Cryptococcus_gattii_VGI,Mock3,Qmin15,dnabarcoder,NCBI,0.47130968,0.309195402,0.990791897
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,dnabarcoder,NCBI,0.859359845,0.761168385,0.986636971
Diplodia_seriata,Mock3,Qmin15,dnabarcoder,NCBI,0.933035714,0.87508723,0.999203187
Fusarium_pseudograminearum,Mock3,Qmin15,dnabarcoder,NCBI,0.965517241,0.934174932,0.99903568
Kluyveromyces_lactis,Mock3,Qmin15,dnabarcoder,NCBI,0,0,0
Kluyveromyces_marxianus,Mock3,Qmin15,dnabarcoder,NCBI,0.969548334,0.945773525,0.994549266
Kodamaea_ohmeri,Mock3,Qmin15,dnabarcoder,NCBI,0.972227331,0.949012567,0.996606335
Leptosphaeria_maculans,Mock3,Qmin15,dnabarcoder,NCBI,0.972538044,0.947511929,0.998922027
Penicillium_chrysogenum,Mock3,Qmin15,dnabarcoder,NCBI,0,0,0
Pichia_kudriavzevii,Mock3,Qmin15,dnabarcoder,NCBI,0.962034786,0.949427833,0.974981046
Pichia_membranifaciens,Mock3,Qmin15,dnabarcoder,NCBI,0.796198055,0.662132353,0.998337029
Quambalaria_cyanescens,Mock3,Qmin15,dnabarcoder,NCBI,0.900625434,0.820945946,0.997434582
Rhodotorula_mucilaginosa,Mock3,Qmin15,dnabarcoder,NCBI,0.868651489,0.769787894,0.996651038
Scedosporium_aurantiacum,Mock3,Qmin15,dnabarcoder,NCBI,0.941903585,0.891575663,0.998253275
Trichomonascus_ciferrii,Mock3,Qmin15,dnabarcoder,NCBI,0.100733496,0.053038105,1
Trichosporon_asahii,Mock3,Qmin15,dnabarcoder,NCBI,0.940255674,0.88899852,0.997785161
Tuber_brumale,Mock3,Qmin15,dnabarcoder,NCBI,0.838086683,0.722975591,0.996794872
Wickerhamomyces_anomalus,Mock3,Qmin15,dnabarcoder,NCBI,0.962873285,0.930577223,0.997491639
Yamadazyma_mexicana,Mock3,Qmin15,dnabarcoder,NCBI,0.977104377,0.956493078,0.998623538
Yamadazyma_scolyti,Mock3,Qmin15,dnabarcoder,NCBI,0.977703827,0.958251794,0.997961957
Yarrowia_lipolytica,Mock3,Qmin15,dnabarcoder,NCBI,0,0,0
Zymoseptoria_tritici,Mock3,Qmin15,dnabarcoder,NCBI,0.962764173,0.928802589,0.999303621
Aspergillus_flavus,Mock3,Qmin15,emu,NCBI,0,0,0
Aspergillus_fumigatus,Mock3,Qmin15,emu,NCBI,0.042219776,0.021565125,1
Blastobotrys_adeninivorans,Mock3,Qmin15,emu,NCBI,0.952262434,0.908874955,1
Blastobotrys_proliferans,Mock3,Qmin15,emu,NCBI,0.976701144,0.954463243,1
Candida_boleticola,Mock3,Qmin15,emu,NCBI,0.96163108,0.926097712,1
Candida_caryicola,Mock3,Qmin15,emu,NCBI,0.922054998,0.855382228,1
Candida_catenulata,Mock3,Qmin15,emu,NCBI,0.614245895,0.443257496,1
Candida_dubliniensis,Mock3,Qmin15,emu,NCBI,0.970864532,0.94337875,1
