MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Aspergillus_flavus,Mock3,Qmin15,vuthuyduong,simNCBI,0.509663565,0.344127598,0.982068966
Aspergillus_fumigatus,Mock3,Qmin15,vuthuyduong,simNCBI,0.012789768,0.010745467,0.015794669
Blastobotrys_adeninivorans,Mock3,Qmin15,vuthuyduong,simNCBI,0.640472405,0.478128179,0.969738652
Blastobotrys_proliferans,Mock3,Qmin15,vuthuyduong,simNCBI,0.634075508,0.481263777,0.929078014
Candida_boleticola,Mock3,Qmin15,vuthuyduong,simNCBI,0.335856848,0.48348745,0.257293497
Candida_caryicola,Mock3,Qmin15,vuthuyduong,simNCBI,0.185873606,0.473251029,0.115647627
Candida_catenulata,Mock3,Qmin15,vuthuyduong,simNCBI,0.613944782,0.480938416,0.848641656
Candida_dubliniensis,Mock3,Qmin15,vuthuyduong,simNCBI,0.180602007,0.10407489,0.682310469
Candida_glabrata,Mock3,Qmin15,vuthuyduong,simNCBI,0.238484718,0.421613394,0.166266507
Candida_metapsilosis,Mock3,Qmin15,vuthuyduong,simNCBI,0.040816327,0.024793388,0.115384615
Candida_parapsilosis,Mock3,Qmin15,vuthuyduong,simNCBI,0.500722752,0.457958752,0.552295918
Candida_tropicalis,Mock3,Qmin15,vuthuyduong,simNCBI,0.159793814,0.442857143,0.097484277
Candida_zeylanoides,Mock3,Qmin15,vuthuyduong,simNCBI,0.503678551,0.480561555,0.529131986
Cryptococcus_gattii_VGI,Mock3,Qmin15,vuthuyduong,simNCBI,0.250225023,0.159770115,0.576763485
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,vuthuyduong,simNCBI,0.273082942,0.199885452,0.430864198
Diplodia_seriata,Mock3,Qmin15,vuthuyduong,simNCBI,0.474008811,0.469295185,0.478818085
Fusarium_pseudograminearum,Mock3,Qmin15,vuthuyduong,simNCBI,0.478112175,0.315148783,0.990084986
Kluyveromyces_lactis,Mock3,Qmin15,vuthuyduong,simNCBI,0.039460371,0.041980624,0.037225581
Kluyveromyces_marxianus,Mock3,Qmin15,vuthuyduong,simNCBI,0.006339144,0.003189793,0.5
Kodamaea_ohmeri,Mock3,Qmin15,vuthuyduong,simNCBI,0.609105921,0.463554758,0.887895461
Leptosphaeria_maculans,Mock3,Qmin15,vuthuyduong,simNCBI,0.499417023,0.437968643,0.580922242
Penicillium_chrysogenum,Mock3,Qmin15,vuthuyduong,simNCBI,0.560818084,0.457820738,0.723611111
Pichia_kudriavzevii,Mock3,Qmin15,vuthuyduong,simNCBI,0.627075053,0.495016611,0.855229592
Pichia_membranifaciens,Mock3,Qmin15,vuthuyduong,simNCBI,0.387667098,0.330514706,0.468717414
Quambalaria_cyanescens,Mock3,Qmin15,vuthuyduong,simNCBI,0.656917885,0.493243243,0.983164983
Rhodotorula_mucilaginosa,Mock3,Qmin15,vuthuyduong,simNCBI,0.416956522,0.496120021,0.359580052
Scedosporium_aurantiacum,Mock3,Qmin15,vuthuyduong,simNCBI,0.599899346,0.464898596,0.845390071
Trichomonascus_ciferrii,Mock3,Qmin15,vuthuyduong,simNCBI,0.588150289,0.41915551,0.985472155
Trichosporon_asahii,Mock3,Qmin15,vuthuyduong,simNCBI,0.373919874,0.469659595,0.310603589
Tuber_brumale,Mock3,Qmin15,vuthuyduong,simNCBI,0.495110366,0.343277799,0.887775551
Wickerhamomyces_anomalus,Mock3,Qmin15,vuthuyduong,simNCBI,0.58420762,0.412636505,1
Yamadazyma_mexicana,Mock3,Qmin15,vuthuyduong,simNCBI,0.235762011,0.488464074,0.155378486
Yamadazyma_scolyti,Mock3,Qmin15,vuthuyduong,simNCBI,0.523499638,0.472276582,0.587185726
Yarrowia_lipolytica,Mock3,Qmin15,vuthuyduong,simNCBI,0.489411765,0.469879518,0.510638298
Zymoseptoria_tritici,Mock3,Qmin15,vuthuyduong,simNCBI,0.154559194,0.496440129,0.091527446
Aspergillus_flavus,Mock3,Qmin15,mycoAI_bert,simNCBI,0.369114878,0.284195263,0.526410027
Aspergillus_fumigatus,Mock3,Qmin15,mycoAI_bert,simNCBI,0.033345684,0.030221625,0.037190083
Blastobotrys_adeninivorans,Mock3,Qmin15,mycoAI_bert,simNCBI,0.001956947,0.001356392,0.003511853
Blastobotrys_proliferans,Mock3,Qmin15,mycoAI_bert,simNCBI,0.295579503,0.493754592,0.210922787
Candida_boleticola,Mock3,Qmin15,mycoAI_bert,simNCBI,0.099387829,0.091149273,0.109263658
Candida_caryicola,Mock3,Qmin15,mycoAI_bert,simNCBI,0.089701636,0.191769547,0.058542714
Candida_catenulata,Mock3,Qmin15,mycoAI_bert,simNCBI,0.003391884,0.01026393,0.002031635
Candida_dubliniensis,Mock3,Qmin15,mycoAI_bert,simNCBI,0.006575342,0.003303965,0.666666667
Candida_glabrata,Mock3,Qmin15,mycoAI_bert,simNCBI,0.113567073,0.226788432,0.075749873
Candida_metapsilosis,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin15,mycoAI_bert,simNCBI,0.009678534,0.00740349,0.013972056
Candida_tropicalis,Mock3,Qmin15,mycoAI_bert,simNCBI,0.516380655,0.394047619,0.748868778
Candida_zeylanoides,Mock3,Qmin15,mycoAI_bert,simNCBI,0.17288961,0.460043197,0.106446777
Cryptococcus_gattii_VGI,Mock3,Qmin15,mycoAI_bert,simNCBI,0.004332756,0.002873563,0.008802817
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Diplodia_seriata,Mock3,Qmin15,mycoAI_bert,simNCBI,0.420646819,0.342637823,0.544647809
Fusarium_pseudograminearum,Mock3,Qmin15,mycoAI_bert,simNCBI,0.024823695,0.019837692,0.033157498
Kluyveromyces_lactis,Mock3,Qmin15,mycoAI_bert,simNCBI,0.003746488,0.002152853,0.014423077
Kluyveromyces_marxianus,Mock3,Qmin15,mycoAI_bert,simNCBI,0.004491018,0.002392344,0.036585366
Kodamaea_ohmeri,Mock3,Qmin15,mycoAI_bert,simNCBI,0.217033632,0.322082585,0.163656267
Leptosphaeria_maculans,Mock3,Qmin15,mycoAI_bert,simNCBI,0.036247335,0.023176551,0.083129584
Penicillium_chrysogenum,Mock3,Qmin15,mycoAI_bert,simNCBI,0.233812155,0.232425308,0.235215651
Pichia_kudriavzevii,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Pichia_membranifaciens,Mock3,Qmin15,mycoAI_bert,simNCBI,0.009451109,0.004779412,0.419354839
Quambalaria_cyanescens,Mock3,Qmin15,mycoAI_bert,simNCBI,0.523031204,0.371621622,0.882647944
Rhodotorula_mucilaginosa,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Scedosporium_aurantiacum,Mock3,Qmin15,mycoAI_bert,simNCBI,0.021895527,0.027301092,0.018276762
Trichomonascus_ciferrii,Mock3,Qmin15,mycoAI_bert,simNCBI,0.006741573,0.006179197,0.007416564
Trichosporon_asahii,Mock3,Qmin15,mycoAI_bert,simNCBI,0.31120332,0.185002467,0.979112272
Tuber_brumale,Mock3,Qmin15,mycoAI_bert,simNCBI,0.024390244,0.013948082,0.09703504
Wickerhamomyces_anomalus,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Yamadazyma_mexicana,Mock3,Qmin15,mycoAI_bert,simNCBI,0.08688447,0.483849703,0.047727421
Yamadazyma_scolyti,Mock3,Qmin15,mycoAI_bert,simNCBI,0,0,0
Yarrowia_lipolytica,Mock3,Qmin15,mycoAI_bert,simNCBI,0.012683314,0.012048193,0.013389121
Zymoseptoria_tritici,Mock3,Qmin15,mycoAI_bert,simNCBI,0.007250129,0.004530744,0.018134715
Aspergillus_flavus,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.540671513,0.377477042,0.952439024
Aspergillus_fumigatus,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.018481848,0.009402283,0.538461538
Blastobotrys_adeninivorans,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.064705882,0.033570702,0.891891892
Blastobotrys_proliferans,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.386298215,0.493019838,0.317557974
Candida_boleticola,Mock3,Qmin15,mycoAI_cnn,simNCBI,0.366084788,0.484808454,0.294070513
