Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Aspergillus_flavus,Mock1,Qmin15,GSD,minimap2,0.756730536,0.78,0.734809232
Aspergillus_fumigatus,Mock1,Qmin15,GSD,minimap2,0.703524087,0.544,0.995425435
Asteroma_sp._CCL060,Mock1,Qmin15,GSD,minimap2,0.99018374,0.9835,0.996958946
Austropuccinia_psidii,Mock1,Qmin15,GSD,minimap2,0.98617048,0.9805,0.99190693
Blastobotrys_adeninivorans,Mock1,Qmin15,GSD,minimap2,0.99,0.99,0.99
Blastobotrys_proliferans,Mock1,Qmin15,GSD,minimap2,0.994234144,0.9915,0.996983409
Botrytis_cinerea,Mock1,Qmin15,GSD,minimap2,0.982982983,0.982,0.983967936
Botrytis_fabae,Mock1,Qmin15,GSD,minimap2,0.967204844,0.9585,0.976069246
Candida_boleticola,Mock1,Qmin15,GSD,minimap2,0.93825936,0.946,0.930644368
Candida_caryicola,Mock1,Qmin15,GSD,minimap2,0.957575758,0.9875,0.929411765
Candida_catenulata,Mock1,Qmin15,GSD,minimap2,0.990789146,0.995,0.986613783
Candida_dubliniensis,Mock1,Qmin15,GSD,minimap2,0.977766675,0.9785,0.977034448
Candida_glabrata,Mock1,Qmin15,GSD,minimap2,0.853099349,0.7535,0.983039791
Candida_metapsilosis,Mock1,Qmin15,GSD,minimap2,0.966314237,0.9825,0.95065312
Candida_parapsilosis,Mock1,Qmin15,GSD,minimap2,0.960449219,0.9835,0.938454198
Candida_tropicalis,Mock1,Qmin15,GSD,minimap2,0.99098648,0.9895,0.992477432
Candida_zeylanoides,Mock1,Qmin15,GSD,minimap2,0.974144299,0.989,0.959728287
Cortinarius_globuliformis,Mock1,Qmin15,GSD,minimap2,0.889562104,0.8075,0.990190067
Cryptococcus_gattii_VGI,Mock1,Qmin15,GSD,minimap2,0.941299243,0.902,0.984178942
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,GSD,minimap2,0.982862903,0.975,0.990853659
Cryptovalsa_ampelina,Mock1,Qmin15,GSD,minimap2,0.993729621,0.9905,0.996980372
Diaporthe_sp._CCL067,Mock1,Qmin15,GSD,minimap2,0.990267033,0.992,0.98854011
Diplodia_seriata,Mock1,Qmin15,GSD,minimap2,0.993238167,0.9915,0.994982439
Entoleuca_sp._,Mock1,Qmin15,GSD,minimap2,0.990954774,0.986,0.995959596
Erysiphe_necator,Mock1,Qmin15,GSD,minimap2,0.952281617,0.913,0.995095368
Eutypa_lata,Mock1,Qmin15,GSD,minimap2,0.991685563,0.984,0.999492128
Fusarium_proliferatum,Mock1,Qmin15,GSD,minimap2,0.977533699,0.979,0.976071785
Fusarium_pseudograminearum,Mock1,Qmin15,GSD,minimap2,0.977721519,0.9655,0.99025641
Geotrichum_candidum,Mock1,Qmin15,GSD,minimap2,0.956709957,0.9945,0.921686747
Kluyveromyces_lactis,Mock1,Qmin15,GSD,minimap2,0.965449645,0.985,0.946660259
Kluyveromyces_marxianus,Mock1,Qmin15,GSD,minimap2,0.984142716,0.993,0.975442043
Kodamaea_ohmeri,Mock1,Qmin15,GSD,minimap2,0.982438535,0.979,0.985901309
Leptosphaeria_maculans,Mock1,Qmin15,GSD,minimap2,0.99273729,0.991,0.994480682
Penicillium_chrysogenum,Mock1,Qmin15,GSD,minimap2,0.953724326,0.9635,0.944145027
Pichia_kudriavzevii,Mock1,Qmin15,GSD,minimap2,0.963291451,0.9775,0.949490044
Pichia_membranifaciens,Mock1,Qmin15,GSD,minimap2,0.863945578,0.762,0.997382199
Puccinia_graminis_,Mock1,Qmin15,GSD,minimap2,0.986212083,0.9835,0.988939165
Puccinia_striiformis_var_tritici,Mock1,Qmin15,GSD,minimap2,0.978370221,0.9725,0.984311741
Puccinia_triticina,Mock1,Qmin15,GSD,minimap2,0.984094926,0.9745,0.993880673
Pyrenophora_tritici-repentis,Mock1,Qmin15,GSD,minimap2,0.90797546,0.851,0.973127501
