Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Aspergillus_flavus,Mock1,Qmin15,NCBI,minimap2,0,0,0
Aspergillus_fumigatus,Mock1,Qmin15,NCBI,minimap2,0.016856718,0.0085,1
Blastobotrys_adeninivorans,Mock1,Qmin15,NCBI,minimap2,0.972158365,0.9515,0.993733681
Blastobotrys_proliferans,Mock1,Qmin15,NCBI,minimap2,0.834448647,0.717,0.997912317
Candida_boleticola,Mock1,Qmin15,NCBI,minimap2,0.825043885,0.705,0.994358251
Candida_caryicola,Mock1,Qmin15,NCBI,minimap2,0.417556346,0.264,0.998109641
Candida_catenulata,Mock1,Qmin15,NCBI,minimap2,0.28974359,0.1695,0.997058824
Candida_dubliniensis,Mock1,Qmin15,NCBI,minimap2,0.899807851,0.8195,0.997565429
Candida_glabrata,Mock1,Qmin15,NCBI,minimap2,0.393429487,0.2455,0.989919355
Candida_metapsilosis,Mock1,Qmin15,NCBI,minimap2,0,0,0
Candida_parapsilosis,Mock1,Qmin15,NCBI,minimap2,0.930133333,0.872,0.996571429
Candida_tropicalis,Mock1,Qmin15,NCBI,minimap2,0.888210818,0.8005,0.997507788
Candida_zeylanoides,Mock1,Qmin15,NCBI,minimap2,0.286203942,0.167,1
Cryptococcus_gattii_VGI,Mock1,Qmin15,NCBI,minimap2,0.0009995,0.0005,1
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,NCBI,minimap2,0,0,0
Diplodia_seriata,Mock1,Qmin15,NCBI,minimap2,0.866043614,0.7645,0.998693664
Fusarium_pseudograminearum,Mock1,Qmin15,NCBI,minimap2,0.191681736,0.106,1
Kluyveromyces_lactis,Mock1,Qmin15,NCBI,minimap2,0,0,0
Kluyveromyces_marxianus,Mock1,Qmin15,NCBI,minimap2,0.759047324,0.6135,0.99513382
Kodamaea_ohmeri,Mock1,Qmin15,NCBI,minimap2,0.301694915,0.178,0.988888889
Leptosphaeria_maculans,Mock1,Qmin15,NCBI,minimap2,0.950888192,0.91,0.995623632
Penicillium_chrysogenum,Mock1,Qmin15,NCBI,minimap2,0.0009995,0.0005,1
