Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Aspergillus_flavus,Mock1,Qmin15,simNCBI,vtd,0.524900036,0.361,0.96138482
Aspergillus_fumigatus,Mock1,Qmin15,simNCBI,vtd,0.018061827,0.013,0.029579067
Blastobotrys_adeninivorans,Mock1,Qmin15,simNCBI,vtd,0.642952128,0.4835,0.959325397
Blastobotrys_proliferans,Mock1,Qmin15,simNCBI,vtd,0.625,0.4625,0.963541667
Candida_boleticola,Mock1,Qmin15,simNCBI,vtd,0.330377668,0.503,0.24596577
Candida_caryicola,Mock1,Qmin15,simNCBI,vtd,0.26207089,0.4695,0.181765389
Candida_catenulata,Mock1,Qmin15,simNCBI,vtd,0.634491634,0.493,0.889891697
Candida_dubliniensis,Mock1,Qmin15,simNCBI,vtd,0.185476815,0.106,0.741258741
Candida_glabrata,Mock1,Qmin15,simNCBI,vtd,0.249962081,0.412,0.17940344
Candida_metapsilosis,Mock1,Qmin15,simNCBI,vtd,0.024366472,0.0125,0.480769231
Candida_parapsilosis,Mock1,Qmin15,simNCBI,vtd,0.368421053,0.4585,0.307924782
Candida_tropicalis,Mock1,Qmin15,simNCBI,vtd,0.263483388,0.458,0.184938421
Candida_zeylanoides,Mock1,Qmin15,simNCBI,vtd,0.566884408,0.499,0.656147272
Cryptococcus_gattii_VGI,Mock1,Qmin15,simNCBI,vtd,0.244621514,0.1535,0.601960784
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,simNCBI,vtd,0.303978239,0.2235,0.475026567
Diplodia_seriata,Mock1,Qmin15,simNCBI,vtd,0.40562332,0.4905,0.345787804
Fusarium_pseudograminearum,Mock1,Qmin15,simNCBI,vtd,0.48624199,0.3225,0.987748851
Kluyveromyces_lactis,Mock1,Qmin15,simNCBI,vtd,0.036599314,0.048,0.029574861
Kluyveromyces_marxianus,Mock1,Qmin15,simNCBI,vtd,0.009920635,0.005,0.625
Kodamaea_ohmeri,Mock1,Qmin15,simNCBI,vtd,0.614229765,0.4705,0.884398496
Leptosphaeria_maculans,Mock1,Qmin15,simNCBI,vtd,0.450725745,0.4425,0.459263103
Penicillium_chrysogenum,Mock1,Qmin15,simNCBI,vtd,0.572798083,0.478,0.714499253
Pichia_kudriavzevii,Mock1,Qmin15,simNCBI,vtd,0.617470829,0.4895,0.836037575
Pichia_membranifaciens,Mock1,Qmin15,simNCBI,vtd,0.381533101,0.3285,0.45498615
Quambalaria_cyanescens,Mock1,Qmin15,simNCBI,vtd,0.638098427,0.4765,0.965552178
Rhodotorula_mucilaginosa,Mock1,Qmin15,simNCBI,vtd,0.449623029,0.492,0.413967186
Scedosporium_aurantiacum,Mock1,Qmin15,simNCBI,vtd,0.614727153,0.4675,0.89731286
Trichomonascus_ciferrii,Mock1,Qmin15,simNCBI,vtd,0.570309719,0.4005,0.990111248
Trichosporon_asahii,Mock1,Qmin15,simNCBI,vtd,0.362645914,0.466,0.296815287
Tuber_brumale,Mock1,Qmin15,simNCBI,vtd,0.500353357,0.354,0.853012048
Wickerhamomyces_anomalus,Mock1,Qmin15,simNCBI,vtd,0.584865629,0.4135,0.998792271
Yamadazyma_mexicana,Mock1,Qmin15,simNCBI,vtd,0.274800616,0.491,0.190790752
Yamadazyma_scolyti,Mock1,Qmin15,simNCBI,vtd,0.531367447,0.4595,0.629883482
Yarrowia_lipolytica,Mock1,Qmin15,simNCBI,vtd,0.551881414,0.484,0.641909814
Zymoseptoria_tritici,Mock1,Qmin15,simNCBI,vtd,0.187843175,0.4875,0.116334566
Aspergillus_flavus,Mock1,Qmin15,simNCBI,mycoAIBert,0.372243839,0.287,0.529520295
Aspergillus_fumigatus,Mock1,Qmin15,simNCBI,mycoAIBert,0.039528212,0.031,0.054529464
Blastobotrys_adeninivorans,Mock1,Qmin15,simNCBI,mycoAIBert,0.001856436,0.0015,0.002435065
Blastobotrys_proliferans,Mock1,Qmin15,simNCBI,mycoAIBert,0.355747558,0.4735,0.284897714
Candida_boleticola,Mock1,Qmin15,simNCBI,mycoAIBert,0.115742129,0.0965,0.144569288
Candida_caryicola,Mock1,Qmin15,simNCBI,mycoAIBert,0.119471193,0.183,0.088684274
Candida_catenulata,Mock1,Qmin15,simNCBI,mycoAIBert,0.004678363,0.011,0.002970966
Candida_dubliniensis,Mock1,Qmin15,simNCBI,mycoAIBert,0.007932573,0.004,0.470588235
Candida_glabrata,Mock1,Qmin15,simNCBI,mycoAIBert,0.100989423,0.222,0.065361401
Candida_metapsilosis,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Candida_parapsilosis,Mock1,Qmin15,simNCBI,mycoAIBert,0.003321156,0.0025,0.004945598
Candida_tropicalis,Mock1,Qmin15,simNCBI,mycoAIBert,0.545454545,0.3975,0.868852459
Candida_zeylanoides,Mock1,Qmin15,simNCBI,mycoAIBert,0.304211188,0.484,0.221814849
Cryptococcus_gattii_VGI,Mock1,Qmin15,simNCBI,mycoAIBert,0.005409583,0.0035,0.011904762
Cryptococcus_neoformans_VNIII,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Diplodia_seriata,Mock1,Qmin15,simNCBI,mycoAIBert,0.379968203,0.3585,0.404171364
Fusarium_pseudograminearum,Mock1,Qmin15,simNCBI,mycoAIBert,0.0287687,0.025,0.033875339
Kluyveromyces_lactis,Mock1,Qmin15,simNCBI,mycoAIBert,0.005957447,0.0035,0.02
Kluyveromyces_marxianus,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Kodamaea_ohmeri,Mock1,Qmin15,simNCBI,mycoAIBert,0.18388651,0.3435,0.125548246
Leptosphaeria_maculans,Mock1,Qmin15,simNCBI,mycoAIBert,0.031552528,0.022,0.055766793
Penicillium_chrysogenum,Mock1,Qmin15,simNCBI,mycoAIBert,0.195200738,0.2115,0.181233933
Pichia_kudriavzevii,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Pichia_membranifaciens,Mock1,Qmin15,simNCBI,mycoAIBert,0.007893439,0.004,0.296296296
Quambalaria_cyanescens,Mock1,Qmin15,simNCBI,mycoAIBert,0.520652551,0.375,0.851305335
Rhodotorula_mucilaginosa,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Scedosporium_aurantiacum,Mock1,Qmin15,simNCBI,mycoAIBert,0.029751218,0.029,0.030542391
Trichomonascus_ciferrii,Mock1,Qmin15,simNCBI,mycoAIBert,0.008752735,0.008,0.009661836
Trichosporon_asahii,Mock1,Qmin15,simNCBI,mycoAIBert,0.301392993,0.1785,0.967479675
Tuber_brumale,Mock1,Qmin15,simNCBI,mycoAIBert,0.021276596,0.0125,0.071428571
Wickerhamomyces_anomalus,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Yamadazyma_mexicana,Mock1,Qmin15,simNCBI,mycoAIBert,0.103221006,0.4855,0.057749494
Yamadazyma_scolyti,Mock1,Qmin15,simNCBI,mycoAIBert,0,0,0
Yarrowia_lipolytica,Mock1,Qmin15,simNCBI,mycoAIBert,0.011680727,0.009,0.01663586
