Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Aspergillus_flavus,Mock2,Qmin15,minimap2,GSD,0.634586466,0.774311927,0.537579618
Aspergillus_fumigatus,Mock2,Qmin15,minimap2,GSD,0.708229426,0.550387597,0.993006993
Asteroma_sp._CCL060,Mock2,Qmin15,minimap2,GSD,0.995889003,0.99333675,0.998454405
Austropuccinia_psidii,Mock2,Qmin15,minimap2,GSD,0.986723314,0.981510829,0.991991458
Blastobotrys_adeninivorans,Mock2,Qmin15,minimap2,GSD,0.981721249,0.990776326,0.972830189
Blastobotrys_proliferans,Mock2,Qmin15,minimap2,GSD,0.992653811,0.991743119,0.993566176
Botrytis_cinerea,Mock2,Qmin15,minimap2,GSD,0.976623377,0.973252804,0.980017376
Botrytis_fabae,Mock2,Qmin15,minimap2,GSD,0.946788991,0.946788991,0.946788991
Candida_boleticola,Mock2,Qmin15,minimap2,GSD,0.919478183,0.937614679,0.902030009
Candida_caryicola,Mock2,Qmin15,minimap2,GSD,0.926681128,0.979816514,0.879012346
Candida_catenulata,Mock2,Qmin15,minimap2,GSD,0.982041174,0.987665198,0.976480836
Candida_dubliniensis,Mock2,Qmin15,minimap2,GSD,0.96668188,0.971559633,0.961852861
Candida_glabrata,Mock2,Qmin15,minimap2,GSD,0.873798323,0.782704287,0.988888889
Candida_metapsilosis,Mock2,Qmin15,minimap2,GSD,0.96892866,0.982854261,0.955392157
Candida_parapsilosis,Mock2,Qmin15,minimap2,GSD,0.977156177,0.988057825,0.966492468
Candida_tropicalis,Mock2,Qmin15,minimap2,GSD,0.99009901,0.98640947,0.993816254
Candida_zeylanoides,Mock2,Qmin15,minimap2,GSD,0.977205154,0.989959839,0.964774951
Cortinarius_globuliformis,Mock2,Qmin15,minimap2,GSD,0.88055972,0.808256881,0.967069155
Cryptococcus_gattii_VGI,Mock2,Qmin15,minimap2,GSD,0.947780679,0.91042637,0.988331389
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,minimap2,GSD,0.979743542,0.972334932,0.987265918
Cryptovalsa_ampelina,Mock2,Qmin15,minimap2,GSD,0.994829369,0.993288591,0.996374935
Diaporthe_sp._CCL067,Mock2,Qmin15,minimap2,GSD,0.995464167,0.995464167,0.995464167
Diplodia_seriata,Mock2,Qmin15,minimap2,GSD,0.993051844,0.987509965,0.998656275
Entoleuca_sp._,Mock2,Qmin15,minimap2,GSD,0.989666715,0.980392157,0.999118425
Erysiphe_necator,Mock2,Qmin15,minimap2,GSD,0.957109865,0.920952381,0.996222527
Eutypa_lata,Mock2,Qmin15,minimap2,GSD,0.986710963,0.981818182,0.991652755
Fusarium_proliferatum,Mock2,Qmin15,minimap2,GSD,0.976074694,0.977786438,0.974368932
Fusarium_pseudograminearum,Mock2,Qmin15,minimap2,GSD,0.979381443,0.96692112,0.992167102
Geotrichum_candidum,Mock2,Qmin15,minimap2,GSD,0.977525815,0.99793303,0.957936508
Kluyveromyces_lactis,Mock2,Qmin15,minimap2,GSD,0.960800667,0.988558352,0.934559221
Kluyveromyces_marxianus,Mock2,Qmin15,minimap2,GSD,0.981672776,0.993256912,0.970355731
Kodamaea_ohmeri,Mock2,Qmin15,minimap2,GSD,0.977175464,0.977872948,0.976478974
Leptosphaeria_maculans,Mock2,Qmin15,minimap2,GSD,0.993057341,0.986714359,0.999482402
Penicillium_chrysogenum,Mock2,Qmin15,minimap2,GSD,0.944804194,0.964128383,0.92623942
Pichia_kudriavzevii,Mock2,Qmin15,minimap2,GSD,0.934325744,0.978899083,0.893634841
Pichia_membranifaciens,Mock2,Qmin15,minimap2,GSD,0.864043419,0.761904762,0.99780633
Puccinia_graminis_,Mock2,Qmin15,minimap2,GSD,0.985507246,0.977233921,0.993921852
Puccinia_striiformis_var_tritici,Mock2,Qmin15,minimap2,GSD,0.970954357,0.970954357,0.970954357
Puccinia_triticina,Mock2,Qmin15,minimap2,GSD,0.977506427,0.971884984,0.983193277
Pyrenophora_tritici-repentis,Mock2,Qmin15,minimap2,GSD,0.907250471,0.855304039,0.965914787
Quambalaria_cyanescens,Mock2,Qmin15,minimap2,GSD,0.978380123,0.965605096,0.991497711
Rhodotorula_mucilaginosa,Mock2,Qmin15,minimap2,GSD,0.993132088,0.99265645,0.993608182
Scedosporium_aurantiacum,Mock2,Qmin15,minimap2,GSD,0.968011127,0.957798165,0.978444236
Scedosporium_boydii,Mock2,Qmin15,minimap2,GSD,0.983534577,0.976034858,0.991150442
Sclerotinia_sclerotiorum,Mock2,Qmin15,minimap2,GSD,0.984396387,0.975848033,0.99309583
Sporisorium_scitamineum,Mock2,Qmin15,minimap2,GSD,0.938871473,0.90075188,0.980360065
Trichomonascus_ciferrii,Mock2,Qmin15,minimap2,GSD,0.978789047,0.970925784,0.986780715
Trichosporon_asahii,Mock2,Qmin15,minimap2,GSD,0.976181615,0.983870968,0.968611521
Tuber_brumale,Mock2,Qmin15,minimap2,GSD,0.988483215,0.983422721,0.993596059
Wickerhamomyces_anomalus,Mock2,Qmin15,minimap2,GSD,0.983730389,0.981449275,0.986022132
Yamadazyma_mexicana,Mock2,Qmin15,minimap2,GSD,0.97790315,0.994263862,0.962072155
Yamadazyma_scolyti,Mock2,Qmin15,minimap2,GSD,0.989175687,0.998319328,0.98019802
Yarrowia_lipolytica,Mock2,Qmin15,minimap2,GSD,0.944146079,0.993781798,0.899232737
Zymoseptoria_tritici,Mock2,Qmin15,minimap2,GSD,0.983546618,0.987155963,0.97996357
Aspergillus_flavus,Mock2,Qmin15,kraken2,GSD,0.64516129,0.779816514,0.550161812
Aspergillus_fumigatus,Mock2,Qmin15,kraken2,GSD,0.711830635,0.553875969,0.995818815
Asteroma_sp._CCL060,Mock2,Qmin15,kraken2,GSD,0.994855967,0.99128652,0.998451213
Austropuccinia_psidii,Mock2,Qmin15,kraken2,GSD,0.987778959,0.982039091,0.993586317
Blastobotrys_adeninivorans,Mock2,Qmin15,kraken2,GSD,0.987361164,0.990776326,0.983969466
Blastobotrys_proliferans,Mock2,Qmin15,kraken2,GSD,0.993109784,0.991743119,0.994480221
Botrytis_cinerea,Mock2,Qmin15,kraken2,GSD,nan,0,nan
Botrytis_fabae,Mock2,Qmin15,kraken2,GSD,0.961210974,0.932110092,0.9921875
Candida_boleticola,Mock2,Qmin15,kraken2,GSD,0.982552801,0.981651376,0.983455882
Candida_caryicola,Mock2,Qmin15,kraken2,GSD,0.981132075,0.977981651,0.984302862
Candida_catenulata,Mock2,Qmin15,kraken2,GSD,0.930676629,0.987665198,0.879905808
Candida_dubliniensis,Mock2,Qmin15,kraken2,GSD,0.976744186,0.963302752,0.990566038
Candida_glabrata,Mock2,Qmin15,kraken2,GSD,0.884716334,0.80285819,0.985161871
Candida_metapsilosis,Mock2,Qmin15,kraken2,GSD,0.980720446,0.974785678,0.986727922
Candida_parapsilosis,Mock2,Qmin15,kraken2,GSD,0.986827488,0.977058454,0.996793844
Candida_tropicalis,Mock2,Qmin15,kraken2,GSD,0.986046512,0.975887769,0.996418979
Candida_zeylanoides,Mock2,Qmin15,kraken2,GSD,0.981987992,0.985274431,0.978723404
Cortinarius_globuliformis,Mock2,Qmin15,kraken2,GSD,0.855823499,0.765137615,0.970896391
Cryptococcus_gattii_VGI,Mock2,Qmin15,kraken2,GSD,0.948217636,0.905410247,0.99527373
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,kraken2,GSD,0.981505698,0.969015124,0.994322483
Cryptovalsa_ampelina,Mock2,Qmin15,kraken2,GSD,0.994826694,0.992772328,0.99688958
Diaporthe_sp._CCL067,Mock2,Qmin15,kraken2,GSD,0.995614698,0.995464167,0.995765275
Diplodia_seriata,Mock2,Qmin15,kraken2,GSD,0.993051844,0.987509965,0.998656275
Entoleuca_sp._,Mock2,Qmin15,kraken2,GSD,0.989666715,0.980392157,0.999118425
Erysiphe_necator,Mock2,Qmin15,kraken2,GSD,0.964337583,0.948571429,0.980636692
Eutypa_lata,Mock2,Qmin15,kraken2,GSD,0.987531172,0.981818182,0.993311037
Fusarium_proliferatum,Mock2,Qmin15,kraken2,GSD,0.973787167,0.969992206,0.97761194
Fusarium_pseudograminearum,Mock2,Qmin15,kraken2,GSD,0.982766049,0.967345208,0.998686515
Geotrichum_candidum,Mock2,Qmin15,kraken2,GSD,0.994233937,0.99793303,0.990562167
Kluyveromyces_lactis,Mock2,Qmin15,kraken2,GSD,0.985091743,0.982837529,0.987356322
Kluyveromyces_marxianus,Mock2,Qmin15,kraken2,GSD,0.977393617,0.991233985,0.963934426
Kodamaea_ohmeri,Mock2,Qmin15,kraken2,GSD,0.982783357,0.977872948,0.987743331
Leptosphaeria_maculans,Mock2,Qmin15,kraken2,GSD,0.991264132,0.985692386,0.996899225
Penicillium_chrysogenum,Mock2,Qmin15,kraken2,GSD,0.947107949,0.963499056,0.931265207
Pichia_kudriavzevii,Mock2,Qmin15,kraken2,GSD,0.94086496,0.977981651,0.906462585
Pichia_membranifaciens,Mock2,Qmin15,kraken2,GSD,0.864549403,0.762144054,0.998745688
Puccinia_graminis_,Mock2,Qmin15,kraken2,GSD,0.98355453,0.970119522,0.997366881
Puccinia_striiformis_var_tritici,Mock2,Qmin15,kraken2,GSD,0.981481481,0.967634855,0.995730145
Puccinia_triticina,Mock2,Qmin15,kraken2,GSD,0.980532122,0.965495208,0.996044825
Pyrenophora_tritici-repentis,Mock2,Qmin15,kraken2,GSD,0.906823529,0.855304039,0.964947421
Quambalaria_cyanescens,Mock2,Qmin15,kraken2,GSD,0.970861351,0.965605096,0.976175145
Rhodotorula_mucilaginosa,Mock2,Qmin15,kraken2,GSD,0.993290735,0.99265645,0.993925831
Scedosporium_aurantiacum,Mock2,Qmin15,kraken2,GSD,0.970919325,0.949541284,0.99328215
Scedosporium_boydii,Mock2,Qmin15,kraken2,GSD,0.98164464,0.970951344,0.992576095
Sclerotinia_sclerotiorum,Mock2,Qmin15,kraken2,GSD,0.985578904,0.973677069,0.997775306
Sporisorium_scitamineum,Mock2,Qmin15,kraken2,GSD,0.938366718,0.915789474,0.962085308
Trichomonascus_ciferrii,Mock2,Qmin15,kraken2,GSD,0.981775882,0.968630451,0.995283019
Trichosporon_asahii,Mock2,Qmin15,kraken2,GSD,0.983502062,0.983870968,0.983133433
Tuber_brumale,Mock2,Qmin15,kraken2,GSD,0.991444635,0.988785958,0.994117647
Wickerhamomyces_anomalus,Mock2,Qmin15,kraken2,GSD,0.98630935,0.981449275,0.991217799
Yamadazyma_mexicana,Mock2,Qmin15,kraken2,GSD,0.990952381,0.994741874,0.987191651
Yamadazyma_scolyti,Mock2,Qmin15,kraken2,GSD,0.996640538,0.99719888,0.99608282
Yarrowia_lipolytica,Mock2,Qmin15,kraken2,GSD,0.945444773,0.994347089,0.901127049
Zymoseptoria_tritici,Mock2,Qmin15,kraken2,GSD,0.982199909,0.987155963,0.97729337
Aspergillus_flavus,Mock2,Qmin15,aodp,GSD,0.792893876,0.777981651,0.808388942
Aspergillus_fumigatus,Mock2,Qmin15,aodp,GSD,0.701481296,0.541472868,0.99572345
Asteroma_sp._CCL060,Mock2,Qmin15,aodp,GSD,0.995630943,0.992824193,0.998453608
Austropuccinia_psidii,Mock2,Qmin15,aodp,GSD,0.986162853,0.978869519,0.993565684
Blastobotrys_adeninivorans,Mock2,Qmin15,aodp,GSD,0.985407066,0.986164489,0.984650806
Blastobotrys_proliferans,Mock2,Qmin15,aodp,GSD,0.993109784,0.991743119,0.994480221
Botrytis_cinerea,Mock2,Qmin15,aodp,GSD,0.978922717,0.991803279,0.966372425
Botrytis_fabae,Mock2,Qmin15,aodp,GSD,0.960793576,0.933027523,0.990262902
