Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Aspergillus_flavus,Mock2,Qmin15,minimap2,NCBI,0,0,0
Aspergillus_fumigatus,Mock2,Qmin15,minimap2,NCBI,0.013092029,0.006589147,1
Blastobotrys_adeninivorans,Mock2,Qmin15,minimap2,NCBI,0.970289289,0.95388163,0.987271281
Blastobotrys_proliferans,Mock2,Qmin15,minimap2,NCBI,0.829137654,0.710091743,0.996138996
Candida_boleticola,Mock2,Qmin15,minimap2,NCBI,0.819212089,0.696330275,0.994757536
Candida_caryicola,Mock2,Qmin15,minimap2,NCBI,0.411636364,0.259633028,0.992982456
Candida_catenulata,Mock2,Qmin15,minimap2,NCBI,0.252501925,0.144493392,1
Candida_dubliniensis,Mock2,Qmin15,minimap2,NCBI,0.892478546,0.811009174,0.992143659
Candida_glabrata,Mock2,Qmin15,minimap2,NCBI,0.410703898,0.258702822,0.995768688
Candida_metapsilosis,Mock2,Qmin15,minimap2,NCBI,0,0,0
Candida_parapsilosis,Mock2,Qmin15,minimap2,NCBI,0.931144245,0.873350094,0.99712953
Candida_tropicalis,Mock2,Qmin15,minimap2,NCBI,0.873642646,0.775975449,0.999435347
Candida_zeylanoides,Mock2,Qmin15,minimap2,NCBI,0.279631761,0.162650602,0.995901639
Cryptococcus_gattii_VGI,Mock2,Qmin15,minimap2,NCBI,0,0,0
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,minimap2,NCBI,0.000737463,0.000368868,1
Diplodia_seriata,Mock2,Qmin15,minimap2,NCBI,0.878462913,0.783683231,0.999322264
Fusarium_pseudograminearum,Mock2,Qmin15,minimap2,NCBI,0.194486983,0.107718405,1
Kluyveromyces_lactis,Mock2,Qmin15,minimap2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin15,minimap2,NCBI,0.781862745,0.645313554,0.991709845
Kodamaea_ohmeri,Mock2,Qmin15,minimap2,NCBI,0.303506651,0.179157744,0.992094862
Leptosphaeria_maculans,Mock2,Qmin15,minimap2,NCBI,0.950415438,0.905978539,0.999436302
Penicillium_chrysogenum,Mock2,Qmin15,minimap2,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin15,minimap2,NCBI,0.436541144,0.287155963,0.909883721
Pichia_membranifaciens,Mock2,Qmin15,minimap2,NCBI,0.79231658,0.656377124,0.999271403
Quambalaria_cyanescens,Mock2,Qmin15,minimap2,NCBI,0.028876334,0.014649682,1
Rhodotorula_mucilaginosa,Mock2,Qmin15,minimap2,NCBI,0.746459206,0.597381865,0.994683679
Scedosporium_aurantiacum,Mock2,Qmin15,minimap2,NCBI,0.431034483,0.275229358,0.993377483
Trichomonascus_ciferrii,Mock2,Qmin15,minimap2,NCBI,0.001529052,0.000765111,1
Trichosporon_asahii,Mock2,Qmin15,minimap2,NCBI,0.658622423,0.491372843,0.99847561
Tuber_brumale,Mock2,Qmin15,minimap2,NCBI,0.232658337,0.131643101,1
Wickerhamomyces_anomalus,Mock2,Qmin15,minimap2,NCBI,0.236855539,0.134492754,0.991452991
Yamadazyma_mexicana,Mock2,Qmin15,minimap2,NCBI,0.904625033,0.827437859,0.997694524
Yamadazyma_scolyti,Mock2,Qmin15,minimap2,NCBI,0.788187373,0.650420168,1
Yarrowia_lipolytica,Mock2,Qmin15,minimap2,NCBI,0.865936668,0.827020916,0.908695652
Zymoseptoria_tritici,Mock2,Qmin15,minimap2,NCBI,0.466619817,0.304587156,0.996996997
Aspergillus_flavus,Mock2,Qmin15,kraken2,NCBI,0.001833181,0.000917431,1
Aspergillus_fumigatus,Mock2,Qmin15,kraken2,NCBI,0.042488619,0.021705426,1
Blastobotrys_adeninivorans,Mock2,Qmin15,kraken2,NCBI,0.97349961,0.960030746,0.987351779
Blastobotrys_proliferans,Mock2,Qmin15,kraken2,NCBI,0.97945845,0.962385321,0.997148289
Candida_boleticola,Mock2,Qmin15,kraken2,NCBI,0.975198877,0.955963303,0.995224451
Candida_caryicola,Mock2,Qmin15,kraken2,NCBI,0.965160075,0.940366972,0.991295938
Candida_catenulata,Mock2,Qmin15,kraken2,NCBI,0.974335885,0.953303965,0.996316759
Candida_dubliniensis,Mock2,Qmin15,kraken2,NCBI,0.967529412,0.943119266,0.993236715
Candida_glabrata,Mock2,Qmin15,kraken2,NCBI,0.84212748,0.73103701,0.993031359
Candida_metapsilosis,Mock2,Qmin15,kraken2,NCBI,0.001008065,0.000504286,1
Candida_parapsilosis,Mock2,Qmin15,kraken2,NCBI,0.973493976,0.952231301,0.9957279
Candida_tropicalis,Mock2,Qmin15,kraken2,NCBI,0.965345413,0.934239369,0.998594189
Candida_zeylanoides,Mock2,Qmin15,kraken2,NCBI,0.976394116,0.955153949,0.99860042
Cryptococcus_gattii_VGI,Mock2,Qmin15,kraken2,NCBI,0.371061844,0.227875314,0.998430141
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,kraken2,NCBI,0.965374482,0.946145334,0.98540146
Diplodia_seriata,Mock2,Qmin15,kraken2,NCBI,0.877794337,0.78262025,0.999321344
Fusarium_pseudograminearum,Mock2,Qmin15,kraken2,NCBI,0.965350877,0.933418151,0.999545867
Kluyveromyces_lactis,Mock2,Qmin15,kraken2,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin15,kraken2,NCBI,0.977094017,0.963587323,0.990984743
Kodamaea_ohmeri,Mock2,Qmin15,kraken2,NCBI,0.969343066,0.947894361,0.991784914
Leptosphaeria_maculans,Mock2,Qmin15,kraken2,NCBI,0.971908637,0.945835462,0.999460043
Penicillium_chrysogenum,Mock2,Qmin15,kraken2,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin15,kraken2,NCBI,0.933991917,0.95412844,0.914687775
Pichia_membranifaciens,Mock2,Qmin15,kraken2,NCBI,0.81897769,0.69394592,0.998966586
Quambalaria_cyanescens,Mock2,Qmin15,kraken2,NCBI,0.880766501,0.79044586,0.994391026
Rhodotorula_mucilaginosa,Mock2,Qmin15,kraken2,NCBI,0,0,0
Scedosporium_aurantiacum,Mock2,Qmin15,kraken2,NCBI,0.951651508,0.911926606,0.994994995
Trichomonascus_ciferrii,Mock2,Qmin15,kraken2,NCBI,0.823741007,0.700841622,0.998909487
Trichosporon_asahii,Mock2,Qmin15,kraken2,NCBI,0.933679584,0.876594149,0.998717949
Tuber_brumale,Mock2,Qmin15,kraken2,NCBI,0.846887269,0.736226231,0.99669967
Wickerhamomyces_anomalus,Mock2,Qmin15,kraken2,NCBI,0.964200477,0.936811594,0.99323909
Yamadazyma_mexicana,Mock2,Qmin15,kraken2,NCBI,0.981287971,0.965105163,0.998022739
Yamadazyma_scolyti,Mock2,Qmin15,kraken2,NCBI,0.986099291,0.973669468,0.998850575
Yarrowia_lipolytica,Mock2,Qmin15,kraken2,NCBI,0.935492726,0.963256077,0.909284952
Zymoseptoria_tritici,Mock2,Qmin15,kraken2,NCBI,0.978464419,0.958715596,0.999043977
Aspergillus_flavus,Mock2,Qmin15,dnabarcoder,NCBI,0.055307761,0.028440367,1
Aspergillus_fumigatus,Mock2,Qmin15,dnabarcoder,NCBI,0.037276531,0.018992248,1
Blastobotrys_adeninivorans,Mock2,Qmin15,dnabarcoder,NCBI,0.972276455,0.956956188,0.988095238
Blastobotrys_proliferans,Mock2,Qmin15,dnabarcoder,NCBI,0.978504673,0.960550459,0.997142857
Candida_boleticola,Mock2,Qmin15,dnabarcoder,NCBI,0.917903066,0.851376147,0.995708155
Candida_caryicola,Mock2,Qmin15,dnabarcoder,NCBI,0.959772835,0.930275229,0.991202346
Candida_catenulata,Mock2,Qmin15,dnabarcoder,NCBI,0.973411447,0.95154185,0.996309963
Candida_dubliniensis,Mock2,Qmin15,dnabarcoder,NCBI,0.964117092,0.936697248,0.993190661
Candida_glabrata,Mock2,Qmin15,dnabarcoder,NCBI,0.840414289,0.728471968,0.993006993
Candida_metapsilosis,Mock2,Qmin15,dnabarcoder,NCBI,0.006030151,0.003025719,0.857142857
Candida_parapsilosis,Mock2,Qmin15,dnabarcoder,NCBI,0.967011643,0.939660591,0.996002665
Candida_tropicalis,Mock2,Qmin15,dnabarcoder,NCBI,0.956124314,0.917141605,0.998568019
Candida_zeylanoides,Mock2,Qmin15,dnabarcoder,NCBI,0.977109669,0.957161981,0.99790649
Cryptococcus_gattii_VGI,Mock2,Qmin15,dnabarcoder,NCBI,0.483993489,0.31959871,0.996648045
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,dnabarcoder,NCBI,0.857322176,0.755809664,0.990333494
Diplodia_seriata,Mock2,Qmin15,dnabarcoder,NCBI,0.920894239,0.853840021,0.999377916
Fusarium_pseudograminearum,Mock2,Qmin15,dnabarcoder,NCBI,0.961936194,0.927056828,0.999542753
Kluyveromyces_lactis,Mock2,Qmin15,dnabarcoder,NCBI,0,0,0
Kluyveromyces_marxianus,Mock2,Qmin15,dnabarcoder,NCBI,0.96969697,0.949426837,0.990851513
Kodamaea_ohmeri,Mock2,Qmin15,dnabarcoder,NCBI,0.969343066,0.947894361,0.991784914
Leptosphaeria_maculans,Mock2,Qmin15,dnabarcoder,NCBI,0.972987149,0.947879407,0.999461207
Penicillium_chrysogenum,Mock2,Qmin15,dnabarcoder,NCBI,0,0,0
Pichia_kudriavzevii,Mock2,Qmin15,dnabarcoder,NCBI,0.930085701,0.94587156,0.914818101
Pichia_membranifaciens,Mock2,Qmin15,dnabarcoder,NCBI,0.803775744,0.672409667,0.998933523
Quambalaria_cyanescens,Mock2,Qmin15,dnabarcoder,NCBI,0.904861111,0.829936306,0.994656489
Rhodotorula_mucilaginosa,Mock2,Qmin15,dnabarcoder,NCBI,0.864327062,0.762771392,0.997078464
Scedosporium_aurantiacum,Mock2,Qmin15,dnabarcoder,NCBI,0.942539836,0.895412844,0.99490316
Trichomonascus_ciferrii,Mock2,Qmin15,dnabarcoder,NCBI,0.107168718,0.05661821,1
Trichosporon_asahii,Mock2,Qmin15,dnabarcoder,NCBI,0.945684377,0.897974494,0.998748436
Tuber_brumale,Mock2,Qmin15,dnabarcoder,NCBI,0.837104072,0.72159922,0.996632997
Wickerhamomyces_anomalus,Mock2,Qmin15,dnabarcoder,NCBI,0.956417193,0.922318841,0.993133583
Yamadazyma_mexicana,Mock2,Qmin15,dnabarcoder,NCBI,0.974296206,0.95124283,0.998494732
Yamadazyma_scolyti,Mock2,Qmin15,dnabarcoder,NCBI,0.982056394,0.965826331,0.998841251
Yarrowia_lipolytica,Mock2,Qmin15,dnabarcoder,NCBI,0,0,0
Zymoseptoria_tritici,Mock2,Qmin15,dnabarcoder,NCBI,0.964370546,0.931192661,1
Aspergillus_flavus,Mock2,Qmin15,emu,NCBI,0,0,0
Aspergillus_fumigatus,Mock2,Qmin15,emu,NCBI,0.043429527,0.022196761,1
Blastobotrys_adeninivorans,Mock2,Qmin15,emu,NCBI,0.961691575,0.926209932,1
