Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Aspergillus_flavus,Mock2,Qmin15,vtd,simNCBI,0.522666667,0.359633028,0.956097561
Aspergillus_fumigatus,Mock2,Qmin15,vtd,simNCBI,0.017391304,0.01124031,0.038410596
Blastobotrys_adeninivorans,Mock2,Qmin15,vtd,simNCBI,0.623666836,0.471944658,0.919161677
Blastobotrys_proliferans,Mock2,Qmin15,vtd,simNCBI,0.637559809,0.488990826,0.91580756
Candida_boleticola,Mock2,Qmin15,vtd,simNCBI,0.24121071,0.475229358,0.161622465
Candida_caryicola,Mock2,Qmin15,vtd,simNCBI,0.199681782,0.460550459,0.127475876
Candida_catenulata,Mock2,Qmin15,vtd,simNCBI,0.621111111,0.492511013,0.840601504
Candida_dubliniensis,Mock2,Qmin15,vtd,simNCBI,0.178988327,0.105504587,0.58974359
Candida_glabrata,Mock2,Qmin15,vtd,simNCBI,0.339777387,0.425064126,0.282995853
Candida_metapsilosis,Mock2,Qmin15,vtd,simNCBI,0.023369036,0.012102874,0.338028169
Candida_parapsilosis,Mock2,Qmin15,vtd,simNCBI,0.453779027,0.482086738,0.428611344
Candida_tropicalis,Mock2,Qmin15,vtd,simNCBI,0.270008308,0.427444103,0.197328476
Candida_zeylanoides,Mock2,Qmin15,vtd,simNCBI,0.602654176,0.516733601,0.722846442
Cryptococcus_gattii_VGI,Mock2,Qmin15,vtd,simNCBI,0.253378378,0.161232533,0.591327201
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,vtd,simNCBI,0.284495735,0.209147916,0.444705882
Diplodia_seriata,Mock2,Qmin15,vtd,simNCBI,0.492459479,0.464257242,0.524309724
Fusarium_pseudograminearum,Mock2,Qmin15,vtd,simNCBI,0.462037638,0.301950806,0.983425414
Kluyveromyces_lactis,Mock2,Qmin15,vtd,simNCBI,0.032210835,0.044050343,0.025387405
Kluyveromyces_marxianus,Mock2,Qmin15,vtd,simNCBI,0.00669344,0.003371544,0.454545455
Kodamaea_ohmeri,Mock2,Qmin15,vtd,simNCBI,0.605374823,0.458244111,0.891666667
Leptosphaeria_maculans,Mock2,Qmin15,vtd,simNCBI,0.434969161,0.414409811,0.457674944
Penicillium_chrysogenum,Mock2,Qmin15,vtd,simNCBI,0.546682559,0.432976715,0.74137931
Pichia_kudriavzevii,Mock2,Qmin15,vtd,simNCBI,0.546747967,0.493577982,0.612756264
Pichia_membranifaciens,Mock2,Qmin15,vtd,simNCBI,0.461692205,0.331658291,0.759452055
Quambalaria_cyanescens,Mock2,Qmin15,vtd,simNCBI,0.627284318,0.470063694,0.942528736
Rhodotorula_mucilaginosa,Mock2,Qmin15,vtd,simNCBI,0.509810442,0.489463602,0.531922276
Scedosporium_aurantiacum,Mock2,Qmin15,vtd,simNCBI,0.598270893,0.476146789,0.804651163
Trichomonascus_ciferrii,Mock2,Qmin15,vtd,simNCBI,0.574675325,0.40627391,0.981515712
Trichosporon_asahii,Mock2,Qmin15,vtd,simNCBI,0.383792049,0.470742686,0.323954569
Tuber_brumale,Mock2,Qmin15,vtd,simNCBI,0.504172462,0.353486104,0.878787879
Wickerhamomyces_anomalus,Mock2,Qmin15,vtd,simNCBI,0.587418301,0.416811594,0.994467497
Yamadazyma_mexicana,Mock2,Qmin15,vtd,simNCBI,0.261111111,0.494263862,0.177419355
Yamadazyma_scolyti,Mock2,Qmin15,vtd,simNCBI,0.563286945,0.476190476,0.689375507
Yarrowia_lipolytica,Mock2,Qmin15,vtd,simNCBI,0.553716326,0.48219333,0.650152439
Zymoseptoria_tritici,Mock2,Qmin15,vtd,simNCBI,0.101801544,0.489908257,0.056802468
Aspergillus_flavus,Mock2,Qmin15,mycoAIBert,simNCBI,0.346174715,0.29266055,0.423638778
Aspergillus_fumigatus,Mock2,Qmin15,mycoAIBert,simNCBI,0.042030568,0.029844961,0.07103321
Blastobotrys_adeninivorans,Mock2,Qmin15,mycoAIBert,simNCBI,0.002139037,0.002305919,0.001994681
Blastobotrys_proliferans,Mock2,Qmin15,mycoAIBert,simNCBI,0.283609576,0.494495413,0.198819624
Candida_boleticola,Mock2,Qmin15,mycoAIBert,simNCBI,0.094107673,0.101834862,0.087470449
Candida_caryicola,Mock2,Qmin15,mycoAIBert,simNCBI,0.081284695,0.188073394,0.051846232
Candida_catenulata,Mock2,Qmin15,mycoAIBert,simNCBI,0.003273735,0.011453744,0.001909799
Candida_dubliniensis,Mock2,Qmin15,mycoAIBert,simNCBI,0.012646793,0.006422018,0.411764706
Candida_glabrata,Mock2,Qmin15,mycoAIBert,simNCBI,0.138480257,0.229388054,0.099176172
Candida_metapsilosis,Mock2,Qmin15,mycoAIBert,simNCBI,0,0,0
Candida_parapsilosis,Mock2,Qmin15,mycoAIBert,simNCBI,0.009220839,0.006285355,0.017301038
Candida_tropicalis,Mock2,Qmin15,mycoAIBert,simNCBI,0.509463233,0.359929855,0.871549894
Candida_zeylanoides,Mock2,Qmin15,mycoAIBert,simNCBI,0.248096125,0.490629183,0.166024915
Cryptococcus_gattii_VGI,Mock2,Qmin15,mycoAIBert,simNCBI,0.004753417,0.002866356,0.013913043
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,mycoAIBert,simNCBI,0,0,0
