mock_species,mock_replicate,quality_filt,classifier,sequences_classified,closeness_score,lowest_possible_closeness_score,delta_closeness_score
Asteroma_sp_CCL060,Mock2,Qmin15,Dnabarcoder,1805,4,4,0
Austropuccinia_psidii,Mock2,Qmin15,Dnabarcoder,1166,3,3,0
Botrytis_cinerea,Mock2,Qmin15,Dnabarcoder,879,2,1,1
Botrytis_fabae,Mock2,Qmin15,Dnabarcoder,405,2,1,1
Cortinarius_globuliformis_CM4,Mock2,Qmin15,Dnabarcoder,422,1,1,0
Cryptovalsa_ampelina,Mock2,Qmin15,Dnabarcoder,770,2,2,0
Diaporthe_sp_CCL067,Mock2,Qmin15,Dnabarcoder,3137,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin15,Dnabarcoder,3211,2,2,0
Erysiphe_necator,Mock2,Qmin15,Dnabarcoder,939,1,1,0
Eutypa_lata,Mock2,Qmin15,Dnabarcoder,1105,1,1,0
Fusarium_proliferatum,Mock2,Qmin15,Dnabarcoder,1453,1,1,0
Geotrichum_candidum,Mock2,Qmin15,Dnabarcoder,2329,2,1,1
Puccinia_graminis,Mock2,Qmin15,Dnabarcoder,3287,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin15,Dnabarcoder,1124,1,1,0
Puccinia_triticina,Mock2,Qmin15,Dnabarcoder,1473,1,1,0
Pyrenophora_tritici-repentis,Mock2,Qmin15,Dnabarcoder,1819,1,1,0
Scedosporium_boydii,Mock2,Qmin15,Dnabarcoder,1256,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin15,Dnabarcoder,1525,5,2,3
Sporisorium_scitamineum,Mock2,Qmin15,Dnabarcoder,936,1,1,0
Asteroma_sp_CCL060,Mock2,Qmin15,Emu,1877,4,4,0
Austropuccinia_psidii,Mock2,Qmin15,Emu,979.0321272,3,3,0
Botrytis_cinerea,Mock2,Qmin15,Emu,2254,2,1,1
Botrytis_fabae,Mock2,Qmin15,Emu,1032,2,1,1
Cortinarius_globuliformis_CM4,Mock2,Qmin15,Emu,240.386119,1,1,0
Cryptovalsa_ampelina,Mock2,Qmin15,Emu,604.8479365,2,2,0
Diaporthe_sp_CCL067,Mock2,Qmin15,Emu,3174.682309,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin15,Emu,2856.827948,2,2,0
Erysiphe_necator,Mock2,Qmin15,Emu,1141.356436,1,1,0
Eutypa_lata,Mock2,Qmin15,Emu,1146,1,1,0
Fusarium_proliferatum,Mock2,Qmin15,Emu,1568.675584,1,1,0
Geotrichum_candidum,Mock2,Qmin15,Emu,559.7857506,5,1,4
Puccinia_graminis,Mock2,Qmin15,Emu,2392.139819,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin15,Emu,1121.406884,1,1,0
Puccinia_triticina,Mock2,Qmin15,Emu,807.6307558,6,1,5
Pyrenophora_tritici-repentis,Mock2,Qmin15,Emu,1737.420727,1,1,0
Scedosporium_boydii,Mock2,Qmin15,Emu,382.76505,5,1,4
Sclerotinia_sclerotiorum,Mock2,Qmin15,Emu,3566,5,2,3
Sporisorium_scitamineum,Mock2,Qmin15,Emu,934.6133724,1,1,0
Asteroma_sp_CCL060,Mock2,Qmin15,Kraken2,1754,4,4,0
Austropuccinia_psidii,Mock2,Qmin15,Kraken2,1315,3,3,0
Botrytis_cinerea,Mock2,Qmin15,Kraken2,1887,2,1,1
Botrytis_fabae,Mock2,Qmin15,Kraken2,860,2,1,1
Cortinarius_globuliformis_CM4,Mock2,Qmin15,Kraken2,284,3,1,2
Cryptovalsa_ampelina,Mock2,Qmin15,Kraken2,1319,2,2,0
Diaporthe_sp_CCL067,Mock2,Qmin15,Kraken2,3185,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin15,Kraken2,3141,2,2,0
Erysiphe_necator,Mock2,Qmin15,Kraken2,2044,1,1,0
Eutypa_lata,Mock2,Qmin15,Kraken2,1097,1,1,0
Fusarium_proliferatum,Mock2,Qmin15,Kraken2,48,1,1,0
Geotrichum_candidum,Mock2,Qmin15,Kraken2,2336,2,1,1
Puccinia_graminis,Mock2,Qmin15,Kraken2,2952,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin15,Kraken2,1126,1,1,0
Puccinia_triticina,Mock2,Qmin15,Kraken2,1420,1,1,0
Pyrenophora_tritici-repentis,Mock2,Qmin15,Kraken2,1868,1,1,0
Scedosporium_boydii,Mock2,Qmin15,Kraken2,1286,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin15,Kraken2,2960,5,2,3
Sporisorium_scitamineum,Mock2,Qmin15,Kraken2,583,1,1,0
Asteroma_sp_CCL060,Mock2,Qmin15,minimap2,1817,4,4,0
Austropuccinia_psidii,Mock2,Qmin15,minimap2,1311,5,3,2
Botrytis_cinerea,Mock2,Qmin15,minimap2,1585,5,1,4
Botrytis_fabae,Mock2,Qmin15,minimap2,724,5,1,4
Cortinarius_globuliformis_CM4,Mock2,Qmin15,minimap2,252,4,1,3
Cryptovalsa_ampelina,Mock2,Qmin15,minimap2,517,5,2,3
Diaporthe_sp_CCL067,Mock2,Qmin15,minimap2,1704,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin15,minimap2,2054,5,2,3
Erysiphe_necator,Mock2,Qmin15,minimap2,1515,5,1,4
Eutypa_lata,Mock2,Qmin15,minimap2,300,5,1,4
Fusarium_proliferatum,Mock2,Qmin15,minimap2,492,1,1,0
Geotrichum_candidum,Mock2,Qmin15,minimap2,2236,2,1,1
Puccinia_graminis,Mock2,Qmin15,minimap2,597,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin15,minimap2,912,1,1,0
Puccinia_triticina,Mock2,Qmin15,minimap2,322,1,1,0
Pyrenophora_tritici-repentis,Mock2,Qmin15,minimap2,325,5,1,4
Scedosporium_boydii,Mock2,Qmin15,minimap2,1028,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin15,minimap2,2504,5,2,3
Sporisorium_scitamineum,Mock2,Qmin15,minimap2,966,2,1,1
Asteroma_sp_CCL060,Mock2,Qmin17,Dnabarcoder,1866,4,4,0
Austropuccinia_psidii,Mock2,Qmin17,Dnabarcoder,1360,3,3,0
Botrytis_cinerea,Mock2,Qmin17,Dnabarcoder,746,1,1,0
Botrytis_fabae,Mock2,Qmin17,Dnabarcoder,760,2,1,1
Cortinarius_globuliformis_CM4,Mock2,Qmin17,Dnabarcoder,939,1,1,0
Cryptovalsa_ampelina,Mock2,Qmin17,Dnabarcoder,899,2,2,0
Diaporthe_sp_CCL067,Mock2,Qmin17,Dnabarcoder,1904,3,1,2
Entoleuca_sp_CCL052,Mock2,Qmin17,Dnabarcoder,1854,2,2,0
Erysiphe_necator,Mock2,Qmin17,Dnabarcoder,666,1,1,0
Eutypa_lata,Mock2,Qmin17,Dnabarcoder,1846,1,1,0
Fusarium_proliferatum,Mock2,Qmin17,Dnabarcoder,1189,1,1,0
Geotrichum_candidum,Mock2,Qmin17,Dnabarcoder,1919,2,1,1
Puccinia_graminis,Mock2,Qmin17,Dnabarcoder,1905,1,1,0
Puccinia_striiformis_var_tritici,Mock2,Qmin17,Dnabarcoder,1886,1,1,0
Puccinia_triticina,Mock2,Qmin17,Dnabarcoder,1914,1,1,0
Pyrenophora_tritici-repentis,Mock2,Qmin17,Dnabarcoder,1566,1,1,0
Scedosporium_boydii,Mock2,Qmin17,Dnabarcoder,1857,2,1,1
Sclerotinia_sclerotiorum,Mock2,Qmin17,Dnabarcoder,887,5,2,3
Sporisorium_scitamineum,Mock2,Qmin17,Dnabarcoder,1486,1,1,0
Asteroma_sp_CCL060,Mock2,Qmin17,Emu,1933,4,4,0
Austropuccinia_psidii,Mock2,Qmin17,Emu,1087.68073,3,3,0
Botrytis_cinerea,Mock2,Qmin17,Emu,1948,2,1,1
